episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,-3.06,500,112,0,nan,nan,nan,nan
2,-3.135,500,127,0,nan,0.000289,-0.011119,nan
3,-3.085,500,117,0,nan,1e-05,0.016603,nan
4,-2.5,500,0,0,nan,1e-06,0.033823,nan
5,-2.5,500,0,0,nan,7e-06,0.04063,nan
6,-2.5,500,0,0,nan,1e-06,0.049808,nan
7,-2.5,500,0,0,nan,3e-06,0.057263,nan
8,-2.5,500,0,0,nan,2e-06,0.063574,nan
9,-2.5,500,0,0,nan,5e-06,0.066784,nan
10,-2.5,500,0,0,nan,3.5e-05,0.072686,nan
11,-2.5,500,0,0,nan,3.6e-05,0.075943,nan
12,-2.5,500,0,0,nan,4e-06,0.086994,nan
13,-2.5,500,0,0,nan,6.4e-05,0.097888,nan
14,-2.5,500,0,0,nan,5e-06,0.110517,nan
15,-2.5,500,0,0,nan,6.4e-05,0.112787,nan
16,-2.505,500,1,0,nan,8e-06,0.110048,nan
17,-2.575,500,15,0,nan,0.000375,0.108902,nan
18,-2.505,500,1,0,nan,1.8e-05,0.060496,nan
19,-2.535,500,7,0,nan,4e-05,0.039241,nan
20,-2.515,500,3,0,nan,0.000305,-0.038069,nan
21,-2.505,500,1,0,nan,0.000134,-0.095019,nan
22,-2.52,500,4,0,nan,0.000113,-0.07049,nan
23,-2.89,500,78,0,nan,0.000397,-0.387697,nan
24,-2.725,500,45,0,nan,0.005152,-0.522763,nan
25,-2.54,500,8,0,nan,0.000803,-1.327673,nan
26,-4.27,500,354,0,nan,0.248417,-1.46158,nan
27,-4.99,500,498,0,nan,0.115957,-3.245367,nan
28,-2.5,500,0,0,nan,0.09169,-3.811939,nan
29,-2.5,500,0,0,nan,0.093889,-4.329607,nan
30,-2.5,500,0,0,nan,0.049291,-5.95181,nan
31,-2.5,500,0,0,nan,0.02337,-7.142298,nan
32,-2.5,500,0,0,nan,0.014387,-8.699996,nan
33,-2.5,500,0,0,nan,0.359828,-9.26424,nan
34,-2.5,500,0,0,nan,1.833202,-9.928343,nan
35,-2.5,500,0,0,nan,0.316999,-10.913851,nan
36,-2.5,500,0,0,nan,0.005187,-12.126619,nan
37,-2.5,500,0,0,nan,0.910043,-12.115984,nan
38,-2.5,500,0,0,nan,0.484855,-12.537922,nan
39,-2.5,500,0,0,nan,0.016602,-12.582461,nan
40,-2.5,500,0,0,nan,0.682044,-12.225943,nan
41,-2.5,500,0,0,nan,0.695808,-12.492315,nan
42,-2.5,500,0,0,nan,0.017129,-12.600368,nan
43,-2.5,500,0,0,nan,0.568402,-12.418991,nan
44,-2.5,500,0,0,nan,0.467636,-11.886254,nan
45,-2.5,500,0,0,nan,0.003886,-11.840503,nan
46,-2.5,500,0,0,nan,0.002521,-11.270829,nan
47,-2.5,500,0,0,nan,0.002214,-11.129854,nan
48,-2.5,500,0,0,nan,0.036203,-10.833418,nan
49,-2.5,500,0,0,nan,0.404029,-10.05459,nan
50,-2.5,500,0,0,nan,0.005558,-10.037951,nan
51,-2.5,500,0,0,nan,0.003702,-9.752542,nan
52,-2.5,500,0,0,nan,0.284371,-9.415854,nan
53,-2.5,500,0,0,nan,0.002092,-9.104119,nan
54,-2.5,500,0,0,nan,0.002453,-8.6864,nan
55,-2.5,500,0,0,nan,0.001634,-8.606064,nan
56,-2.5,500,0,0,nan,0.253181,-8.182873,nan
57,-2.5,500,0,0,nan,0.24343,-7.829751,nan
58,-2.5,500,0,0,nan,0.002111,-7.739793,nan
59,-2.5,500,0,0,nan,0.209901,-7.577156,nan
60,-2.5,500,0,0,nan,0.196,-7.170885,nan
61,-2.5,500,0,0,nan,0.733277,-7.072445,nan
62,-2.5,500,0,0,nan,0.005399,-7.084457,nan
63,-2.5,500,0,0,nan,0.001787,-6.377184,nan
64,-2.5,500,0,0,nan,0.152413,-6.62099,nan
65,-2.5,500,0,0,nan,0.002337,-6.411462,nan
66,-2.5,500,0,0,nan,0.106381,-6.199197,nan
67,-2.5,500,0,0,nan,0.12648,-6.441803,nan
68,-2.5,500,0,0,nan,0.237291,-6.004144,nan
69,-2.5,500,0,0,nan,0.002901,-5.936765,nan
70,-2.5,500,0,0,nan,0.103145,-5.92028,nan
71,-2.5,500,0,0,nan,0.004712,-5.895097,nan
72,-2.5,500,0,0,nan,0.270475,-5.356765,nan
73,-2.5,500,0,0,nan,0.002376,-5.688043,nan
74,-2.5,500,0,0,nan,2.31535,-5.554293,nan
75,-2.5,500,0,0,nan,0.053781,-5.671442,nan
76,-2.5,500,0,0,nan,0.001233,-4.974374,nan
77,-2.5,500,0,0,nan,0.072221,-4.630466,nan
78,-2.5,500,0,0,nan,0.003887,-4.914165,nan
79,-2.5,500,0,0,nan,0.000854,-4.504499,nan
80,-2.5,500,0,0,nan,0.106423,-4.076585,nan
81,-2.5,500,0,0,nan,0.004996,-4.01727,nan
82,-2.5,500,0,0,nan,0.054923,-3.981163,nan
83,-2.5,500,0,0,nan,0.003668,-3.736685,nan
84,-2.5,500,0,0,nan,0.002908,-4.204422,nan
85,-2.5,500,0,0,nan,0.087113,-3.676595,nan
86,-2.5,500,0,0,nan,0.037192,-3.712597,nan
87,-2.5,500,0,0,nan,0.008729,-3.638736,nan
88,-2.5,500,0,0,nan,0.037568,-3.59163,nan
89,-2.5,500,0,0,nan,0.001053,-3.080998,nan
90,-2.5,500,0,0,nan,0.010584,-3.193169,nan
91,-2.5,500,0,0,nan,0.268303,-3.071402,nan
92,-2.5,500,0,0,nan,0.029219,-2.825039,nan
93,-2.5,500,0,0,nan,0.026099,-2.486505,nan
94,-2.5,500,0,0,nan,0.003032,-2.639508,nan
95,-2.5,500,0,0,nan,0.169348,-2.65871,nan
96,-2.5,500,0,0,nan,0.018316,-2.585624,nan
97,-2.5,500,0,0,nan,0.02127,-2.300587,nan
98,-2.5,500,0,0,nan,0.094339,-2.372945,nan
99,-2.5,500,0,0,nan,0.014629,-2.315763,nan
100,-2.5,500,0,0,nan,0.060445,-2.078457,nan
101,-2.5,500,0,0,nan,0.0071,-1.929453,nan
102,-2.5,500,0,0,nan,0.000985,-1.782424,nan
103,-2.5,500,0,0,nan,0.004227,-1.781852,nan
104,-2.5,500,0,0,nan,0.396181,-1.55519,nan
105,-2.5,500,0,0,nan,0.379159,-1.546527,nan
106,-2.5,500,0,0,nan,0.00989,-1.578435,nan
107,-2.5,500,0,0,nan,0.000384,-1.621465,nan
108,-2.5,500,0,0,nan,0.000411,-1.416578,nan
109,-2.5,500,0,0,nan,0.000799,-1.340626,nan
110,-2.5,500,0,0,nan,0.006192,-1.341566,nan
111,-2.5,500,0,0,nan,0.000875,-1.233264,nan
112,-2.5,500,0,0,nan,0.000683,-1.371852,nan
113,-2.5,500,0,0,nan,3.3e-05,-1.14155,nan
114,-2.5,500,0,0,nan,0.009456,-1.202012,nan
115,-2.5,500,0,0,nan,0.004502,-1.137714,nan
116,-2.5,500,0,0,nan,0.004659,-1.123496,nan
117,-2.5,500,0,0,nan,0.003943,-1.054918,nan
118,-2.5,500,0,0,nan,0.003623,-0.948837,nan
119,-2.5,500,0,0,nan,0.000131,-0.916077,nan
120,-2.5,500,0,0,nan,0.002637,-0.93595,nan
121,-2.5,500,0,0,nan,0.000209,-0.918389,nan
122,-2.5,500,0,0,nan,0.002639,-0.844544,nan
123,-2.5,500,0,0,nan,0.000219,-0.770116,nan
124,-2.5,500,0,0,nan,0.000321,-0.769298,nan
125,-2.5,500,0,0,nan,0.001659,-0.738464,nan
126,-2.5,500,0,0,nan,0.00699,-0.68116,nan
127,-2.5,500,0,0,nan,0.00138,-0.580043,nan
128,-2.5,500,0,0,nan,3.7e-05,-0.540735,nan
129,-2.5,500,0,0,nan,1.5e-05,-0.534754,nan
130,-2.5,500,0,0,nan,0.000914,-0.507243,nan
131,-2.5,500,0,0,nan,9.3e-05,-0.478876,nan
132,-2.5,500,0,0,nan,9.9e-05,-0.445099,nan
133,-2.5,500,0,0,nan,0.001274,-0.404323,nan
134,-2.5,500,0,0,nan,0.000897,-0.386746,nan
135,-2.5,500,0,0,nan,1.4e-05,-0.351016,nan
136,-2.5,500,0,0,nan,3.8e-05,-0.33255,nan
137,-2.5,500,0,0,nan,1e-06,-0.320949,nan
138,-2.5,500,0,0,nan,3e-06,-0.280082,nan
139,-2.5,500,0,0,nan,0.000281,-0.255447,nan
140,-2.5,500,0,0,nan,6.9e-05,-0.248509,nan
141,-2.5,500,0,0,nan,8.4e-05,-0.219,nan
142,-2.5,500,0,0,nan,2e-06,-0.19863,nan
143,-2.5,500,0,0,nan,2e-06,-0.183789,nan
144,-2.5,500,0,0,nan,7.3e-05,-0.151815,nan
145,-2.5,500,0,0,nan,0.000265,-0.133373,nan
146,-2.5,500,0,0,nan,7e-05,-0.122741,nan
147,-2.5,500,0,0,nan,0.0,-0.109196,nan
148,-2.5,500,0,0,nan,3e-05,-0.08973,nan
149,-2.5,500,0,0,nan,4.1e-05,-0.077706,nan
150,-2.5,500,0,0,nan,7.8e-05,-0.048136,nan
151,-2.5,500,0,0,nan,2.1e-05,-0.041868,nan
152,-2.5,500,0,0,nan,2e-06,-0.022988,nan
153,-2.5,500,0,0,nan,2e-06,-0.002558,nan
154,-2.5,500,0,0,nan,3e-06,0.016955,nan
155,-2.5,500,0,0,nan,1e-06,0.027629,nan
156,-2.5,500,0,0,nan,8e-06,0.038915,nan
157,-2.5,500,0,0,nan,2.3e-05,0.055582,nan
158,-2.5,500,0,0,nan,3.2e-05,0.06988,nan
159,-2.5,500,0,0,nan,3e-06,0.079043,nan
160,-2.5,500,0,0,nan,1.4e-05,0.087911,nan
161,-2.5,500,0,0,nan,1e-06,0.101327,nan
162,-2.5,500,0,0,nan,0.000111,0.125626,nan
163,-2.5,500,0,0,nan,2e-05,0.129836,nan
164,-2.5,500,0,0,nan,5e-06,0.153323,nan
165,-2.5,500,0,0,nan,1.8e-05,0.163411,nan
166,-2.5,500,0,0,nan,2e-05,0.176232,nan
167,-2.5,500,0,0,nan,0.000284,0.178089,nan
168,-2.5,500,0,0,nan,1e-06,0.202996,nan
169,-2.5,500,0,0,nan,1.4e-05,0.216834,nan
170,-2.5,500,0,0,nan,0.000193,0.218285,nan
171,-2.5,500,0,0,nan,6e-06,0.230484,nan
172,-2.5,500,0,0,nan,0.000493,0.233749,nan
173,-2.5,500,0,0,nan,0.000238,0.243758,nan
174,-2.5,500,0,0,nan,1.9e-05,0.260913,nan
175,-2.5,500,0,0,nan,5.3e-05,0.265424,nan
176,-2.5,500,0,0,nan,2.2e-05,0.287717,nan
177,-2.5,500,0,0,nan,3e-06,0.287271,nan
178,-2.5,500,0,0,nan,0.000774,0.291257,nan
179,-2.5,500,0,0,nan,3e-06,0.29966,nan
180,-2.5,500,0,0,nan,4e-06,0.304908,nan
181,-2.5,500,0,0,nan,3e-06,0.316492,nan
182,-2.5,500,0,0,nan,7.8e-05,0.325534,nan
183,-2.5,500,0,0,nan,0.000438,0.335993,nan
184,-2.5,500,0,0,nan,0.000112,0.338679,nan
185,-2.5,500,0,0,nan,1.5e-05,0.35272,nan
186,-2.5,500,0,0,nan,8e-06,0.355027,nan
187,-2.5,500,0,0,nan,5.7e-05,0.359562,nan
188,-2.5,500,0,0,nan,0.00055,0.364529,nan
189,-2.5,500,0,0,nan,1.3e-05,0.379212,nan
190,-2.5,500,0,0,nan,8e-06,0.380338,nan
191,-2.5,500,0,0,nan,0.000561,0.373773,nan
192,-2.5,500,0,0,nan,0.00059,0.393678,nan
193,-2.5,500,0,0,nan,1.4e-05,0.392791,nan
194,-2.5,500,0,0,nan,3.1e-05,0.400183,nan
195,-2.5,500,0,0,nan,3.2e-05,0.398249,nan
196,-2.5,500,0,0,nan,0.000669,0.399336,nan
197,-2.5,500,0,0,nan,3e-06,0.410149,nan
198,-2.5,500,0,0,nan,0.000677,0.410103,nan
199,-2.5,500,0,0,nan,0.000665,0.416215,nan
200,-2.5,500,0,0,nan,0.00067,0.418829,nan
201,-2.5,500,0,0,nan,0.000683,0.420794,nan
202,-2.5,500,0,0,nan,0.000727,0.426604,nan
203,-2.5,500,0,0,nan,2e-06,0.426557,nan
204,-2.5,500,0,0,nan,0.000694,0.426994,nan
205,-2.5,500,0,0,nan,0.000777,0.430104,nan
206,-2.5,500,0,0,nan,0.000732,0.426947,nan
207,-2.5,500,0,0,nan,7e-06,0.428313,nan
208,-2.5,500,0,0,nan,8e-06,0.44418,nan
209,-2.5,500,0,0,nan,3e-06,0.448567,nan
210,-2.5,500,0,0,nan,1e-06,0.443125,nan
211,-2.5,500,0,0,nan,4.3e-05,0.433726,nan
212,-2.5,500,0,0,nan,0.000758,0.442684,nan
213,-2.5,500,0,0,nan,4.5e-05,0.445606,nan
214,-2.5,500,0,0,nan,2e-06,0.458133,nan
215,-2.5,500,0,0,nan,0.000804,0.449193,nan
216,-2.5,500,0,0,nan,1.4e-05,0.454269,nan
217,-2.5,500,0,0,nan,0.000821,0.449766,nan
