episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,-3.7,500,240,0,nan,nan,nan,nan
2,-3.86,500,272,0,nan,24.952198,-3.80679,0.9997
3,96.205,500,259,1,136.0,0.12247,-12.258185,0.859261
4,96.17,500,266,1,69.0,1.93616,-17.777138,0.739364
5,96.16,500,268,1,38.0,72.168655,-22.590569,0.636761
6,-3.68,500,236,0,nan,64.680183,-27.091114,0.548565
7,-3.745,500,249,0,nan,60.559723,-30.305422,0.472741
8,-3.835,500,267,0,nan,8.175158,-32.641495,0.407398
9,-3.85,500,270,0,nan,0.519266,-35.367268,0.351176
10,-3.975,500,295,0,nan,0.462337,-36.682983,0.302819
11,-3.845,500,269,0,nan,11.449736,-38.05225,0.261046
12,-3.76,500,252,0,nan,0.829377,-39.057732,0.225081
13,-3.885,500,277,0,nan,0.668518,-39.49028,0.193951
14,-3.935,500,287,0,nan,0.215425,-39.951004,0.166975
15,-3.915,500,283,0,nan,0.375021,-40.546227,0.143737
16,-3.755,500,251,0,nan,31.769768,-40.034096,0.123844
17,96.08,500,284,1,14.0,0.403786,-40.19455,0.106837
18,96.05,500,290,1,13.0,15.86445,-40.649376,0.092288
19,1595.345,500,431,16,13.5625,7.992352,-41.94117,0.083905
20,1895.31,500,438,19,13.210526315789474,18.363285,-47.407623,0.079859
21,1995.255,500,449,20,12.95,93.384651,-52.042519,0.076008
22,1995.13,500,474,20,12.85,17.295231,-58.569241,0.072346
23,1995.035,500,493,20,12.35,150.085754,-70.906441,0.070462
24,1995.03,500,494,20,12.2,1.254327,-74.078896,0.068279
25,1995.05,500,490,20,12.65,61.191257,-85.636269,0.064713
26,1995.045,500,491,20,12.55,0.968924,-92.761627,0.060344
27,1995.035,500,493,20,12.25,47.261086,-102.333809,0.058748
28,2095.01,500,498,21,12.047619047619047,62.214355,-106.875687,0.057795
29,1995.03,500,494,20,12.1,65.128716,-113.704071,0.056072
30,1995.02,500,496,20,12.15,109.190125,-124.546661,0.05808
31,2095.05,500,490,21,12.0,120.661316,-129.351685,0.061387
32,1995.005,500,499,20,12.05,3.99554,-132.292572,0.064609
33,2095.01,500,498,21,12.0,310.379425,-142.454376,0.064383
34,1995.005,500,499,20,12.1,1.505228,-147.590439,0.061115
35,1995.01,500,498,20,12.35,358.816162,-148.998917,0.057956
36,1995.01,500,498,20,12.25,2.023431,-153.446548,0.0553
37,1995.01,500,498,20,12.2,362.263367,-161.950516,0.057554
38,1995.01,500,498,20,12.05,640.719604,-167.685791,0.059585
39,2095.005,500,499,21,12.047619047619047,2.487744,-169.151596,0.05927
40,1995.0,500,500,20,12.05,2.03927,-177.941864,0.060476
41,2095.0,500,500,21,12.095238095238095,2.036457,-182.724579,0.058646
42,1995.005,500,499,20,12.1,6.638234,-184.20871,0.059018
43,2095.01,500,498,21,12.0,3.46866,-188.748444,0.06346
44,2095.0,500,500,21,12.0,204.287292,-200.281174,0.064257
45,2095.0,500,500,21,12.047619047619047,507.581482,-199.085037,0.067468
46,2095.005,500,499,21,12.0,225.68988,-200.978058,0.068252
47,2095.0,500,500,21,12.0,231.363983,-207.535416,0.072875
48,1995.015,500,497,20,12.05,0.977927,-208.428253,0.074822
49,2095.005,500,499,21,12.0,249.743347,-216.23288,0.075397
50,2095.015,500,497,21,12.047619047619047,2.661837,-216.734116,0.071585
51,2095.03,500,494,21,12.0,1.754915,-220.866714,0.069002
52,2095.01,500,498,21,12.0,4.692292,-222.821304,0.065364
53,2095.005,500,499,21,12.095238095238095,297.86792,-227.137985,0.071665
54,2095.005,500,499,21,12.047619047619047,596.212769,-229.066513,0.078636
55,1995.005,500,499,20,12.05,589.113281,-230.815033,0.079389
56,1995.005,500,499,20,12.0,1552.252808,-239.368362,0.082053
57,2095.015,500,497,21,12.047619047619047,1.910099,-236.755051,0.082361
58,1995.0,500,500,20,12.0,680.650452,-242.143372,0.083643
59,1995.0,500,500,20,12.0,337.070374,-244.337906,0.080034
60,2095.0,500,500,21,12.0,1670.321533,-245.484802,0.082988
61,2095.005,500,499,21,12.047619047619047,8.244144,-249.213455,0.075086
62,2095.005,500,499,21,12.0,7.673511,-249.626816,0.07718
63,2095.0,500,500,21,12.0,3.208383,-256.502625,0.078746
64,1995.005,500,499,20,12.05,371.789825,-263.534973,0.077101
65,2095.0,500,500,21,12.0,1.879601,-261.961731,0.074786
66,1995.005,500,499,20,12.0,1.626664,-260.214966,0.075305
67,2095.0,500,500,21,12.0,3.961533,-264.183319,0.077667
68,2095.0,500,500,21,12.0,718.940369,-267.344177,0.078692
69,2095.01,500,498,21,12.047619047619047,13.999893,-263.812714,0.080284
70,2095.0,500,500,21,12.0,841.30719,-265.068817,0.081417
71,2095.015,500,497,21,12.0,3.641217,-275.104431,0.080682
72,2095.0,500,500,21,12.0,6.56391,-274.657379,0.080493
73,1995.025,500,495,20,12.0,3.135916,-273.32666,0.08129
74,2095.005,500,499,21,12.0,3.098301,-281.488495,0.081571
75,2095.01,500,498,21,12.0,465.625732,-280.337891,0.078125
76,1995.0,500,500,20,12.0,484.450562,-279.381073,0.077322
77,1995.03,500,494,20,12.05,3.69891,-284.533264,0.076697
78,2095.0,500,500,21,12.0,1.789226,-285.587555,0.076283
79,2095.005,500,499,21,12.0,1.12251,-288.10437,0.074493
80,1995.07,500,486,20,12.0,529.996948,-288.13324,0.076127
81,1895.375,500,425,19,12.0,3.213379,-291.132294,0.083304
82,1595.655,500,369,16,12.0,1.341939,-288.243927,0.089584
83,1995.02,500,496,20,12.05,489.306274,-289.626495,0.092673
84,1995.005,500,499,20,12.15,1108.025391,-292.823303,0.08645
85,1995.005,500,499,20,12.05,503.726685,-294.167725,0.090381
86,1995.0,500,500,20,12.2,922.51709,-299.570007,0.08788
87,2095.03,500,494,21,12.047619047619047,2.76725,-293.919189,0.082651
88,2095.005,500,499,21,12.047619047619047,1.905548,-296.293091,0.081999
89,1995.03,500,494,20,12.1,1786.618896,-298.819336,0.077542
90,2095.01,500,498,21,12.0,4.327084,-298.135651,0.080424
91,1995.01,500,498,20,12.0,3.509082,-301.267853,0.085164
92,2095.015,500,497,21,12.0,1.445904,-305.906403,0.082387
93,1995.025,500,495,20,12.15,909.85498,-306.654999,0.083225
94,1995.015,500,497,20,12.15,1.468271,-303.928314,0.085826
95,1995.025,500,495,20,12.1,6.83889,-301.7229,0.083811
96,1995.02,500,496,20,12.1,1.654718,-305.723022,0.086597
97,2095.005,500,499,21,12.047619047619047,561.845825,-303.851196,0.081504
98,1995.155,500,469,20,12.6,566.218506,-303.69873,0.080665
99,1995.015,500,497,20,12.1,1.227224,-308.350739,0.078709
100,2095.045,500,491,21,12.0,1851.827148,-306.546234,0.073954
101,2095.005,500,499,21,12.095238095238095,2.311252,-312.203918,0.081424
102,1995.01,500,498,20,12.1,8.590975,-310.263824,0.083404
103,1995.015,500,497,20,12.2,10.893173,-306.171631,0.083802
104,1995.01,500,498,20,12.2,3.81812,-313.591125,0.080268
105,1995.015,500,497,20,12.0,13.566843,-314.506073,0.09099
106,1995.015,500,497,20,12.1,1397.655029,-314.908203,0.089209
107,1995.005,500,499,20,12.15,1.859756,-313.85733,0.089189
108,2095.02,500,496,21,12.0,1.271734,-317.166168,0.090777
109,1995.01,500,498,20,12.2,1.595841,-320.075867,0.083765
110,1995.01,500,498,20,12.25,9.963369,-319.408325,0.08265
111,1995.0,500,500,20,12.4,1042.841675,-319.623505,0.076063
112,1995.005,500,499,20,12.05,3.829797,-324.42804,0.091277
113,1995.005,500,499,20,12.25,1.801112,-319.313782,0.089148
114,2095.02,500,496,21,12.0,2.745258,-323.411743,0.097423
115,1995.02,500,496,20,12.25,1603.131592,-320.194641,0.095147
116,1995.04,500,492,20,12.1,699.535767,-318.971191,0.092598
117,2095.055,500,489,21,12.0,11.764726,-321.217407,0.104398
118,2095.085,500,483,21,12.0,10.063025,-325.630859,0.112267
119,1995.13,500,474,20,12.15,7.646814,-324.86145,0.112318
120,1995.175,500,465,20,12.15,1089.723877,-328.684998,0.119194
121,1995.22,500,456,20,12.1,1014.564758,-322.153748,0.129376
122,1995.38,500,424,20,13.0,0.866115,-327.186493,0.138914
123,1995.48,500,404,20,13.15,2.220136,-328.021484,0.13341
124,1995.585,500,383,20,12.85,1475.637085,-328.253357,0.12556
125,1795.935,500,313,18,15.055555555555555,2.292366,-327.546143,0.122829
126,1896.2,500,260,19,13.631578947368421,1.544859,-327.841217,0.153883
127,2095.955,500,309,21,12.095238095238095,6.206083,-329.396759,0.171034
128,2096.05,500,290,21,12.0,5.952939,-324.589996,0.177028
129,2095.81,500,338,21,12.0,4.534595,-329.93866,0.179484
130,2095.76,500,348,21,12.0,1046.747681,-327.436615,0.162538
131,1995.44,500,412,20,12.2,5.280996,-326.637787,0.154427
132,1995.485,500,403,20,12.55,633.5896,-328.705078,0.142513
133,2095.16,500,468,21,12.0,3511.845947,-327.906158,0.138747
134,1995.24,500,452,20,12.05,3.543951,-330.85968,0.131264
135,2095.39,500,422,21,12.047619047619047,1618.522949,-329.964722,0.128015
136,2095.35,500,430,21,12.0,1.965494,-327.480804,0.123315
137,2095.4,500,420,21,12.0,629.324036,-330.376923,0.128195
138,2095.185,500,463,21,12.0,653.149902,-331.29187,0.143605
139,2095.25,500,450,21,12.047619047619047,17.296455,-324.553833,0.135011
140,2095.265,500,447,21,12.0,2.496703,-327.000763,0.131957
141,1995.31,500,438,20,12.15,611.24646,-329.424438,0.129134
142,2095.245,500,451,21,12.0,1.818097,-331.672546,0.121377
143,2095.265,500,447,21,12.0,19.758263,-329.07016,0.120173
144,2095.225,500,455,21,12.0,603.2724,-330.900513,0.130817
145,2095.335,500,433,21,12.095238095238095,21.348156,-327.999359,0.131563
146,2095.38,500,424,21,12.0,6.30289,-331.379303,0.120422
147,2095.26,500,448,21,12.0,2.71809,-332.836914,0.129279
148,2095.36,500,428,21,12.047619047619047,1017.94812,-331.661957,0.125281
149,2095.405,500,419,21,12.0,1108.622559,-330.523865,0.123024
150,1995.395,500,421,20,12.1,1018.56897,-328.817719,0.123907
151,1995.455,500,409,20,12.2,645.38562,-328.193298,0.126508
152,1995.55,500,390,20,12.1,12.641032,-328.741974,0.12389
153,1995.475,500,405,20,12.6,611.808777,-329.75592,0.11725
154,2095.265,500,447,21,12.0,6.038553,-327.092896,0.125692
155,2095.34,500,432,21,12.0,694.060425,-328.801941,0.137862
156,2095.345,500,431,21,12.0,9.822056,-329.147919,0.127479
157,2095.365,500,427,21,12.0,3.04508,-329.771027,0.123613
158,2095.51,500,398,21,12.0,29.936356,-329.830505,0.117179
159,1995.46,500,408,20,12.0,1281.096924,-329.426056,0.118678
160,2095.53,500,394,21,12.047619047619047,682.873535,-332.871124,0.111681
161,2095.625,500,375,21,12.047619047619047,3.825031,-330.005676,0.117972
162,2095.32,500,436,21,12.0,1.326593,-333.26297,0.122302
163,1995.325,500,435,20,12.0,620.788513,-328.875397,0.122984
164,2095.27,500,446,21,12.0,666.019409,-332.888611,0.131359
165,2095.4,500,420,21,12.047619047619047,1.123663,-333.125397,0.130653
166,2095.495,500,401,21,12.0,1891.115479,-330.428558,0.125085
167,2095.4,500,420,21,12.0,646.262756,-329.569244,0.125863
168,2095.405,500,419,21,12.0,1.87965,-332.935333,0.130512
169,2095.34,500,432,21,12.0,6.385105,-335.141113,0.128479
170,2095.52,500,396,21,12.0,7.125203,-332.050629,0.120033
171,2095.355,500,429,21,12.0,932.852417,-333.359985,0.121496
172,2095.54,500,392,21,12.0,1066.884888,-331.293121,0.111104
173,2095.42,500,416,21,12.0,12.083473,-334.584167,0.112226
174,2095.56,500,388,21,12.0,651.346741,-335.063263,0.122139
175,2095.615,500,377,21,12.0,7.52731,-329.020996,0.110932
176,2095.46,500,408,21,12.0,1.760049,-332.248444,0.118976
177,2095.33,500,434,21,12.0,14.804306,-333.797882,0.124407
178,2095.49,500,402,21,12.0,2.476434,-338.571259,0.122173
179,2095.545,500,391,21,12.0,1119.168091,-334.248535,0.122944
180,2095.535,500,393,21,12.0,1.917021,-335.202087,0.120182
181,2095.515,500,397,21,12.0,712.593933,-334.143311,0.118531
182,1995.745,500,351,20,12.0,9.940372,-332.665802,0.115153
