episode,total_reward,steps,success,licked_left,licked_right,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,-13.55,500,0,1,0,221,0,nan,nan,nan,nan
2,-13.95,500,0,1,0,229,0,nan,0.056849,-0.02773,nan
3,-3.2,500,0,1,0,14,0,nan,0.000619,0.036295,nan
4,-2.5,500,0,0,0,0,0,nan,0.000134,0.040366,nan
5,-2.55,500,0,1,0,1,0,nan,5.2e-05,0.049649,nan
6,-2.55,500,0,1,0,1,0,nan,5.2e-05,0.056631,nan
7,-2.55,500,0,1,0,1,0,nan,0.000125,0.054754,nan
8,-2.55,500,0,1,0,1,0,nan,2.5e-05,0.065642,nan
9,-2.55,500,0,1,0,1,0,nan,6.6e-05,0.074101,nan
10,-2.7,500,0,0,0,4,0,nan,0.000132,0.071128,nan
11,-2.55,500,0,1,0,1,0,nan,5.5e-05,0.082597,nan
12,-2.55,500,0,0,0,1,0,nan,0.0001,0.086892,nan
13,-3.1,500,0,1,0,12,0,nan,0.000161,0.097145,nan
14,-3.0,500,0,1,0,10,0,nan,0.000142,0.096279,nan
15,-2.85,500,0,1,0,7,0,nan,4.5e-05,0.104608,nan
16,-2.8,500,0,1,0,6,0,nan,7.7e-05,0.108629,nan
17,-3.05,500,0,1,0,11,0,nan,4.4e-05,0.116535,nan
18,-2.65,500,0,1,0,3,0,nan,0.000252,0.115461,nan
19,-2.7,500,0,1,0,4,0,nan,0.000101,0.124747,nan
20,-2.75,500,0,0,0,5,0,nan,3.2e-05,0.126767,nan
21,-2.7,500,0,0,0,4,0,nan,0.000397,0.131904,nan
22,-3.4,500,0,0,0,18,0,nan,7.4e-05,0.134595,nan
23,-2.55,500,0,0,0,1,0,nan,6.6e-05,0.142083,nan
24,-2.65,500,0,0,0,3,0,nan,0.000209,0.149071,nan
25,-2.75,500,0,1,0,5,0,nan,0.000252,0.149864,nan
26,-2.65,500,0,1,0,3,0,nan,6.7e-05,0.154943,nan
27,-3.45,500,0,0,0,19,0,nan,7.8e-05,0.159025,nan
28,-2.95,500,0,1,0,9,0,nan,0.000236,0.161771,nan
29,-2.85,500,0,1,0,7,0,nan,5.2e-05,0.168087,nan
30,-2.9,500,0,0,0,8,0,nan,5.4e-05,0.173078,nan
31,-2.6,500,0,1,0,2,0,nan,0.000154,0.17677,nan
32,-3.05,500,0,0,0,11,0,nan,0.00035,0.177211,nan
33,-2.6,500,0,1,0,2,0,nan,7.9e-05,0.18138,nan
34,-3.25,500,0,1,0,15,0,nan,0.000275,0.181347,nan
35,-2.55,500,0,1,0,1,0,nan,0.000304,0.187721,nan
36,-2.55,500,0,0,0,1,0,nan,0.00029,0.187665,nan
37,-2.55,500,0,0,0,1,0,nan,5e-05,0.192193,nan
38,-2.55,500,0,0,0,1,0,nan,2.7e-05,0.195653,nan
39,-2.55,500,0,1,0,1,0,nan,0.00029,0.197967,nan
40,-2.55,500,0,1,0,1,0,nan,2e-05,0.201126,nan
41,-2.5,500,0,0,0,0,0,nan,2.3e-05,0.204932,nan
42,-2.55,500,0,0,0,1,0,nan,0.000332,0.207513,nan
43,-2.5,500,0,0,0,0,0,nan,8e-06,0.211995,nan
44,-2.55,500,0,1,0,1,0,nan,0.000356,0.214152,nan
45,-2.55,500,0,0,0,1,0,nan,3.1e-05,0.218335,nan
46,-2.5,500,0,0,0,0,0,nan,1.2e-05,0.22022,nan
47,-2.5,500,0,0,0,0,0,nan,0.000402,0.224649,nan
48,-2.5,500,0,0,0,0,0,nan,0.000449,0.222974,nan
49,-2.5,500,0,0,0,0,0,nan,0.000402,0.227593,nan
50,-2.5,500,0,0,0,0,0,nan,1.5e-05,0.232951,nan
51,-2.55,500,0,0,0,1,0,nan,1.5e-05,0.234168,nan
52,-2.5,500,0,0,0,0,0,nan,0.000462,0.238583,nan
