episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,-3.705,500,241,0,nan,nan,nan,nan
2,-3.76,500,252,0,nan,0.220389,-0.080634,nan
3,-3.275,500,155,0,nan,0.003377,0.167664,nan
4,-2.575,500,15,0,nan,0.000331,0.15801,nan
5,-2.56,500,12,0,nan,2.8e-05,0.155946,nan
6,-2.59,500,18,0,nan,0.000166,0.161823,nan
7,-2.59,500,18,0,nan,0.000182,0.146537,nan
8,-2.57,500,14,0,nan,2.6e-05,0.158696,nan
9,-2.56,500,12,0,nan,1.9e-05,0.157168,nan
10,-2.5,500,0,0,nan,3.3e-05,0.155845,nan
11,-2.54,500,8,0,nan,0.000346,0.159947,nan
12,-2.535,500,7,0,nan,0.000207,0.155642,nan
13,-2.505,500,1,0,nan,0.00038,0.170756,nan
14,-2.505,500,1,0,nan,0.000434,0.170097,nan
15,-2.5,500,0,0,nan,0.000244,0.175568,nan
16,-2.505,500,1,0,nan,2.7e-05,0.179501,nan
17,-2.52,500,4,0,nan,0.000259,0.174782,nan
18,-2.525,500,5,0,nan,8.1e-05,0.192752,nan
19,-2.525,500,5,0,nan,4.5e-05,0.195857,nan
20,-2.535,500,7,0,nan,2.1e-05,0.193079,nan
21,-2.505,500,1,0,nan,0.000539,0.188601,nan
22,-2.51,500,2,0,nan,1.5e-05,0.200082,nan
23,-2.51,500,2,0,nan,0.000451,0.204848,nan
24,-2.515,500,3,0,nan,0.000345,0.197985,nan
25,-2.505,500,1,0,nan,0.000326,0.20101,nan
26,-2.51,500,2,0,nan,6e-05,0.208611,nan
27,-2.515,500,3,0,nan,9.9e-05,0.219325,nan
28,-2.545,500,9,0,nan,1.5e-05,0.213309,nan
29,-2.585,500,17,0,nan,0.00041,0.219102,nan
30,-2.555,500,11,0,nan,0.00038,0.225565,nan
31,-2.575,500,15,0,nan,0.000423,0.22112,nan
32,-2.54,500,8,0,nan,2e-05,0.22779,nan
33,-2.565,500,13,0,nan,2.8e-05,0.227343,nan
34,-2.585,500,17,0,nan,0.000427,0.230517,nan
35,-2.61,500,22,0,nan,5e-06,0.234079,nan
36,-2.595,500,19,0,nan,1.7e-05,0.24174,nan
37,-2.6,500,20,0,nan,9e-06,0.245128,nan
38,-2.6,500,20,0,nan,1.6e-05,0.244284,nan
39,-2.595,500,19,0,nan,1.3e-05,0.244241,nan
40,-2.605,500,21,0,nan,2.9e-05,0.245095,nan
41,-2.6,500,20,0,nan,4e-06,0.252114,nan
42,-2.635,500,27,0,nan,1.3e-05,0.250953,nan
43,-2.585,500,17,0,nan,0.000582,0.255941,nan
44,-2.55,500,10,0,nan,8e-06,0.260674,nan
45,-2.505,500,1,0,nan,0.000525,0.259951,nan
46,-2.52,500,4,0,nan,0.001562,0.261623,nan
47,-2.51,500,2,0,nan,0.000574,0.261251,nan
48,-2.51,500,2,0,nan,0.000549,0.268132,nan
49,-2.515,500,3,0,nan,1.3e-05,0.267871,nan
50,-2.515,500,3,0,nan,1e-05,0.270289,nan
51,-2.525,500,5,0,nan,0.000539,0.269057,nan
52,-2.54,500,8,0,nan,0.001122,0.280761,nan
53,-2.535,500,7,0,nan,1e-05,0.28421,nan
54,-2.53,500,6,0,nan,6e-06,0.281244,nan
55,-2.55,500,10,0,nan,3e-06,0.288262,nan
56,-2.51,500,2,0,nan,2e-05,0.290496,nan
57,-2.51,500,2,0,nan,3.5e-05,0.284539,nan
58,-2.515,500,3,0,nan,0.000641,0.288755,nan
59,-2.535,500,7,0,nan,8e-06,0.293342,nan
60,-2.565,500,13,0,nan,3e-06,0.292604,nan
61,-2.525,500,5,0,nan,1.5e-05,0.29701,nan
62,-2.55,500,10,0,nan,6.3e-05,0.295441,nan
63,-2.515,500,3,0,nan,1e-05,0.30064,nan
64,-2.51,500,2,0,nan,6.6e-05,0.300759,nan
65,-2.5,500,0,0,nan,1.8e-05,0.298568,nan
66,-2.5,500,0,0,nan,0.000736,0.307583,nan
67,-2.525,500,5,0,nan,1.4e-05,0.301402,nan
68,-2.51,500,2,0,nan,0.001433,0.307659,nan
69,-2.51,500,2,0,nan,1.6e-05,0.310492,nan
70,-2.52,500,4,0,nan,1.9e-05,0.308897,nan
71,-2.52,500,4,0,nan,0.00147,0.307388,nan
72,-2.5,500,0,0,nan,0.000743,0.307661,nan
73,-2.52,500,4,0,nan,1.3e-05,0.314911,nan
74,-2.52,500,4,0,nan,1.9e-05,0.321238,nan
75,-2.55,500,10,0,nan,0.001523,0.314414,nan
76,-2.59,500,18,0,nan,7e-06,0.324572,nan
77,-2.57,500,14,0,nan,0.000793,0.318852,nan
78,-2.535,500,7,0,nan,5e-06,0.31989,nan
79,-2.535,500,7,0,nan,1e-05,0.325737,nan
80,-2.53,500,6,0,nan,1.5e-05,0.326756,nan
81,-2.565,500,13,0,nan,0.000815,0.326226,nan
82,-2.58,500,16,0,nan,5e-06,0.325792,nan
83,-2.54,500,8,0,nan,0.000853,0.328233,nan
84,-2.525,500,5,0,nan,1.2e-05,0.329024,nan
85,-2.53,500,6,0,nan,1.1e-05,0.329589,nan
86,-2.525,500,5,0,nan,3.2e-05,0.334222,nan
87,-2.555,500,11,0,nan,0.000849,0.333048,nan
88,-2.72,500,44,0,nan,1.7e-05,0.335403,nan
89,-2.505,500,1,0,nan,1.4e-05,0.333842,nan
90,-2.51,500,2,0,nan,1.8e-05,0.334231,nan
91,-2.5,500,0,0,nan,0.000864,0.337591,nan
92,-2.51,500,2,0,nan,0.000868,0.332925,nan
93,-2.54,500,8,0,nan,9e-06,0.343231,nan
94,-2.53,500,6,0,nan,2e-06,0.341394,nan
95,-2.515,500,3,0,nan,1e-06,0.344053,nan
96,-2.53,500,6,0,nan,0.000898,0.345521,nan
97,-2.52,500,4,0,nan,0.000913,0.34577,nan
98,-2.505,500,1,0,nan,1e-05,0.34563,nan
99,-2.5,500,0,0,nan,2e-06,0.348086,nan
100,-2.51,500,2,0,nan,7e-06,0.348498,nan
101,-2.515,500,3,0,nan,1.9e-05,0.34594,nan
102,-2.5,500,0,0,nan,2e-06,0.348327,nan
103,-2.505,500,1,0,nan,4e-06,0.352833,nan
104,-2.51,500,2,0,nan,4.7e-05,0.349078,nan
105,-2.5,500,0,0,nan,2e-05,0.351541,nan
106,-2.5,500,0,0,nan,0.000949,0.349057,nan
107,-2.505,500,1,0,nan,2e-05,0.350823,nan
108,-2.51,500,2,0,nan,0.000958,0.355903,nan
109,-2.515,500,3,0,nan,0.00096,0.351671,nan
110,-2.5,500,0,0,nan,2e-06,0.357102,nan
111,-2.5,500,0,0,nan,0.000974,0.357866,nan
112,-2.5,500,0,0,nan,2.8e-05,0.355834,nan
113,-2.505,500,1,0,nan,0.001948,0.358758,nan
114,-2.505,500,1,0,nan,0.000989,0.357993,nan
115,-2.505,500,1,0,nan,6e-06,0.358608,nan
116,-2.505,500,1,0,nan,0.000994,0.36073,nan
117,-2.5,500,0,0,nan,2.8e-05,0.36011,nan
118,-2.51,500,2,0,nan,2e-06,0.364843,nan
119,-2.52,500,4,0,nan,0.001008,0.361861,nan
120,-2.59,500,18,0,nan,1e-06,0.363536,nan
121,-2.52,500,4,0,nan,7e-06,0.364518,nan
122,-2.515,500,3,0,nan,0.002026,0.363945,nan
123,-2.585,500,17,0,nan,0.001044,0.367362,nan
124,-3.025,500,105,0,nan,4e-06,0.369419,nan
125,-3.31,500,162,0,nan,1.5e-05,0.36881,nan
126,-3.255,500,151,0,nan,9e-06,0.372314,nan
127,-3.175,500,135,0,nan,0.001073,0.372227,nan
128,-3.13,500,126,0,nan,1.6e-05,0.373956,nan
129,-3.32,500,164,0,nan,0.001085,0.37724,nan
130,-3.22,500,144,0,nan,0.000132,0.374584,nan
131,-3.08,500,116,0,nan,0.001124,0.379682,nan
132,-3.35,500,170,0,nan,0.000126,0.377167,nan
133,-3.32,500,164,0,nan,1.1e-05,0.388091,nan
134,-3.31,500,162,0,nan,1e-05,0.385803,nan
135,-3.09,500,118,0,nan,6e-06,0.389015,nan
136,-3.185,500,137,0,nan,2e-05,0.389229,nan
137,-3.265,500,153,0,nan,0.001197,0.391581,nan
138,-3.185,500,137,0,nan,1.7e-05,0.391243,nan
139,-3.105,500,121,0,nan,2.3e-05,0.392902,nan
140,-3.05,500,110,0,nan,1.5e-05,0.393393,nan
141,-3.1,500,120,0,nan,1.5e-05,0.394909,nan
142,-3.18,500,136,0,nan,0.00122,0.393689,nan
143,-3.155,500,131,0,nan,7e-05,0.397616,nan
144,-3.075,500,115,0,nan,9e-06,0.400289,nan
145,-3.13,500,126,0,nan,9e-06,0.401877,nan
146,-2.79,500,58,0,nan,3e-06,0.402095,nan
147,-3.05,500,110,0,nan,5e-06,0.404216,nan
148,-2.99,500,98,0,nan,7e-06,0.40419,nan
149,-3.005,500,101,0,nan,1.9e-05,0.407247,nan
150,-2.945,500,89,0,nan,0.001265,0.401833,nan
151,-2.8,500,60,0,nan,0.001271,0.404012,nan
152,-2.83,500,66,0,nan,5e-06,0.408336,nan
153,-2.825,500,65,0,nan,2.4e-05,0.407601,nan
154,-2.835,500,67,0,nan,1.5e-05,0.407748,nan
155,-2.74,500,48,0,nan,0.001283,0.408374,nan
156,-3.01,500,102,0,nan,0.003828,0.407588,nan
157,-2.785,500,57,0,nan,4e-06,0.410798,nan
158,-3.095,500,119,0,nan,0.001299,0.410153,nan
159,-2.935,500,87,0,nan,1.8e-05,0.410491,nan
160,-3.24,500,148,0,nan,5.9e-05,0.409559,nan
161,-3.155,500,131,0,nan,8e-06,0.414933,nan
162,-2.75,500,50,0,nan,0.001336,0.416348,nan
163,-2.93,500,86,0,nan,6e-06,0.414715,nan
164,-3.11,500,122,0,nan,7e-06,0.416326,nan
165,-3.18,500,136,0,nan,1e-05,0.417168,nan
166,-2.815,500,63,0,nan,1.1e-05,0.414135,nan
167,-2.895,500,79,0,nan,8e-06,0.416115,nan
168,-2.795,500,59,0,nan,0.001339,0.416787,nan
169,-2.845,500,69,0,nan,0.001397,0.421704,nan
170,-2.84,500,68,0,nan,3e-06,0.418674,nan
171,-2.895,500,79,0,nan,0.002709,0.419311,nan
172,-2.81,500,62,0,nan,1e-05,0.420525,nan
173,-2.905,500,81,0,nan,1.2e-05,0.419536,nan
174,-2.835,500,67,0,nan,4e-06,0.420121,nan
175,-2.8,500,60,0,nan,1.3e-05,0.419689,nan
176,-3.015,500,103,0,nan,7e-06,0.420581,nan
177,-3.34,500,168,0,nan,1.1e-05,0.42474,nan
178,-2.81,500,62,0,nan,1.1e-05,0.425036,nan
179,-2.945,500,89,0,nan,0.001374,0.422114,nan
180,-3.0,500,100,0,nan,0.00278,0.423024,nan
181,-2.91,500,82,0,nan,5e-06,0.424517,nan
182,-2.785,500,57,0,nan,0.001382,0.420592,nan
183,-2.955,500,91,0,nan,7e-06,0.425773,nan
184,-2.93,500,86,0,nan,7e-06,0.42464,nan
185,-3.24,500,148,0,nan,0.001408,0.423538,nan
186,-2.925,500,85,0,nan,0.002793,0.425563,nan
187,-2.91,500,82,0,nan,8e-06,0.426233,nan
188,-3.025,500,105,0,nan,8e-06,0.427211,nan
189,-2.815,500,63,0,nan,5e-06,0.429003,nan
190,-2.74,500,48,0,nan,0.001419,0.425075,nan
191,-2.61,500,22,0,nan,2.3e-05,0.425891,nan
192,-2.535,500,7,0,nan,0.001307,0.42525,nan
193,-2.5,500,0,0,nan,1.1e-05,0.427128,nan
194,-2.515,500,3,0,nan,7e-06,0.426367,nan
195,-2.53,500,6,0,nan,3.4e-05,0.423597,nan
196,-2.505,500,1,0,nan,0.00139,0.422958,nan
197,-2.5,500,0,0,nan,7e-06,0.426822,nan
198,-2.5,500,0,0,nan,0.001397,0.425443,nan
199,-2.5,500,0,0,nan,0.004014,0.424319,nan
200,-2.5,500,0,0,nan,0.001383,0.421768,nan
201,-2.505,500,1,0,nan,0.001381,0.422309,nan
202,-2.5,500,0,0,nan,0.001361,0.422156,nan
203,-2.53,500,6,0,nan,1.1e-05,0.426078,nan
204,-2.52,500,4,0,nan,1.1e-05,0.42274,nan
205,-2.505,500,1,0,nan,0.001401,0.427659,nan
206,-2.51,500,2,0,nan,1.4e-05,0.420688,nan
207,-2.525,500,5,0,nan,2.9e-05,0.421492,nan
208,-2.515,500,3,0,nan,2.4e-05,0.42062,nan
209,-2.505,500,1,0,nan,4.3e-05,0.418387,nan
210,-2.505,500,1,0,nan,0.001378,0.418429,nan
211,-2.505,500,1,0,nan,3.7e-05,0.41932,nan
212,-2.5,500,0,0,nan,0.001361,0.417159,nan
213,-2.5,500,0,0,nan,2.8e-05,0.426226,nan
214,-2.5,500,0,0,nan,0.001265,0.42194,nan
215,-2.5,500,0,0,nan,0.001384,0.415046,nan
216,-2.5,500,0,0,nan,0.002733,0.420403,nan
