episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,-3.62,500,224,0,nan,nan,-1.683911,nan
2,-3.67,500,234,0,nan,nan,-1.694479,nan
3,-3.605,500,221,0,nan,nan,-1.671239,nan
4,-3.755,500,251,0,nan,nan,-1.668126,nan
5,-3.75,500,250,0,nan,nan,-1.739462,nan
6,96.225,500,255,1,85.0,nan,44.759998,nan
7,96.28,500,244,1,97.0,nan,49.083401,nan
8,-3.8,500,260,0,nan,nan,-1.712691,nan
9,-3.895,500,279,0,nan,nan,-1.794001,nan
10,-3.76,500,252,0,nan,nan,-1.716187,nan
11,96.24,500,252,1,48.0,nan,53.927376,nan
12,-3.765,500,253,0,nan,nan,-1.713551,nan
13,-3.885,500,277,0,nan,nan,-1.815865,nan
14,-3.895,500,279,0,nan,nan,-1.820522,nan
15,96.16,500,268,1,75.0,nan,53.831554,nan
16,96.235,500,253,1,41.0,nan,54.690006,nan
17,-3.835,500,267,0,nan,nan,-1.760227,nan
18,196.125,500,275,2,72.5,nan,94.12854,nan
19,196.105,500,279,2,38.0,nan,76.506134,nan
20,196.015,500,297,2,89.0,nan,89.794212,nan
21,96.185,500,263,1,45.0,nan,52.867737,nan
22,296.215,500,257,3,81.33333333333333,nan,145.632904,nan
23,196.14,500,272,2,88.0,nan,95.807564,nan
24,96.14,500,272,1,40.0,nan,32.9814,nan
25,196.08,500,284,2,101.0,nan,101.832664,nan
26,196.29,500,242,2,44.0,nan,85.071243,nan
27,396.155,500,269,4,74.75,nan,190.974533,nan
28,296.04,500,292,3,96.33333333333333,nan,152.359894,nan
29,396.205,500,259,4,59.5,nan,187.617783,nan
30,196.27,500,246,2,41.5,nan,103.8545,nan
31,296.275,500,245,3,53.0,nan,143.558563,nan
32,296.255,500,249,3,35.0,nan,163.617325,nan
33,296.32,500,236,3,43.0,nan,138.63623,nan
34,196.245,500,251,2,39.0,nan,65.036507,nan
35,296.2,500,260,3,47.333333333333336,nan,132.492249,nan
36,396.26,500,248,4,42.5,nan,186.112244,nan
37,196.245,500,251,2,35.0,nan,82.276443,nan
38,96.34,500,232,1,59.0,nan,55.471809,nan
39,396.18,500,264,4,26.5,nan,191.545319,nan
40,296.32,500,236,3,37.666666666666664,nan,136.678986,nan
41,296.23,500,254,3,38.666666666666664,nan,131.094116,nan
42,396.27,500,246,4,38.25,nan,192.785904,nan
43,396.195,500,261,4,31.25,nan,197.246063,nan
44,296.225,500,255,3,34.333333333333336,nan,124.940369,nan
45,496.25,500,250,5,35.6,nan,244.869629,nan
