episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-3.4,500,1,218,1,97.0,4.413503,5.397788,nan
2,1.0,-11.25,500,0,175,0,nan,3.306658,4.800183,nan
3,1.0,-7.0,500,0,90,0,nan,1.934209,4.153025,nan
4,1.0,-6.5,500,0,80,0,nan,1.692793,3.736982,nan
5,1.0,-6.35,500,0,77,0,nan,1.820416,3.758753,nan
6,1.0,-6.8,500,0,86,0,nan,1.610245,4.071303,nan
7,1.0,-6.7,500,0,84,0,nan,1.920635,4.410528,nan
8,1.0,-6.2,500,0,74,0,nan,1.629551,3.888745,nan
9,1.0,-7.2,500,0,94,0,nan,1.788407,3.615426,nan
10,1.0,-6.5,500,0,80,0,nan,1.720542,4.126864,nan
11,1.0,-6.25,500,0,75,0,nan,1.282734,4.449024,nan
12,1.0,-6.55,500,0,81,0,nan,1.959691,3.302203,nan
13,1.0,-6.4,500,0,78,0,nan,1.420671,2.775493,nan
14,1.0,-6.1,500,0,72,0,nan,1.275687,3.181514,nan
15,1.0,-6.95,500,0,89,0,nan,1.275007,3.027931,nan
16,1.0,-6.7,500,0,84,0,nan,1.549907,3.820772,nan
17,1.0,-6.1,500,0,72,0,nan,1.358495,3.634368,nan
18,1.0,-6.65,500,0,83,0,nan,2.123646,3.855708,nan
19,1.0,-5.75,500,0,65,0,nan,1.869836,3.897231,nan
20,1.0,-5.9,500,0,68,0,nan,1.212107,2.759774,nan
21,1.0,-6.8,500,0,86,0,nan,1.799472,3.48418,nan
22,1.0,-6.35,500,0,77,0,nan,1.19004,3.034605,nan
23,1.0,-6.6,500,0,82,0,nan,1.435279,3.414289,nan
24,1.0,-5.85,500,0,67,0,nan,1.277664,3.104446,nan
25,1.0,-6.3,500,0,76,0,nan,1.366717,3.466581,nan
26,1.0,-6.25,500,0,75,0,nan,1.394209,3.375911,nan
27,1.0,4.2,500,1,66,1,24.0,1.244368,2.983073,nan
28,1.0,3.45,500,1,81,1,103.0,1.70735,3.464726,nan
29,1.0,-5.85,500,0,67,0,nan,1.035333,2.70271,nan
