Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,60.442,20.0,2.522508e+06,-420611.06,0.0,0.0,-0.005
2,40.442,-20.0,-1.8115568e+06,-1.3098709e+06,0.0,0.0,-0.005
3,60.442,20.0,3.5879252e+06,2.7118658e+06,0.0,0.0,-0.055
4,80.442,20.0,7.127795e+06,615563.06,0.0,0.0,-0.055
5,60.442,-20.0,-6.7271245e+06,-1.5643096e+06,0.0,0.0,-0.005
6,80.442,20.0,3.5255098e+06,725633.1,0.0,0.0,-0.055
7,100.442,20.0,9.984904e+06,-858275.06,0.0,0.0,-0.005
8,120.0,20.0,1.7095416e+07,425259.6,0.0,0.0,-0.055
9,120.0,20.0,2.5122328e+06,702166.1,0.0,0.0,-0.055
10,120.0,20.0,744080.7,-777061.8,0.0,0.0,-0.005
11,120.0,20.0,23936.84,-1.3355711e+06,0.0,0.0,-0.005
12,100.0,-20.0,-4.0806838e+06,-1.1006505e+06,0.0,0.0,-0.005
13,80.0,-20.0,-2.605143e+06,-1.751598e+06,0.0,0.0,-0.005
14,100.0,20.0,1.342505e+07,-1.3308625e+06,0.0,0.0,-0.005
15,120.0,20.0,5.1596065e+06,-872579.2,0.0,0.0,-0.005
16,120.0,20.0,3.3046702e+06,463210.44,0.0,0.0,-0.055
17,120.0,20.0,2.8991112e+06,-1.6861972e+06,0.0,0.0,-0.005
18,120.0,20.0,5.345896e+06,573651.44,0.0,0.0,-0.055
19,120.0,20.0,9.302604e+06,-1.557251e+06,0.0,0.0,-0.005
20,120.0,20.0,6.1536945e+06,-1.0258019e+06,0.0,0.0,-0.005
21,100.0,-20.0,-2.5379865e+06,598596.6,0.0,0.0,-0.055
22,120.0,20.0,3.8331835e+06,3056.521,0.0,0.0,-0.055
23,100.0,-20.0,-3.3779272e+06,-103321.52,0.0,0.0,-0.005
24,80.0,-20.0,-9.708618e+06,467767.25,0.0,0.0,-0.055
25,100.0,20.0,1.776839e+07,262097.78,0.0,0.0,-0.055
26,120.0,20.0,2.2311222e+06,634657.8,0.0,0.0,-0.055
27,100.0,-20.0,-5.464391e+06,2.256632e+06,0.0,0.0,-0.055
28,120.0,20.0,1.230603e+06,583273.75,0.0,0.0,-0.055
29,120.0,20.0,5.32493e+06,245749.89,0.0,0.0,-0.055
30,120.0,20.0,4.1223488e+06,-752716.2,0.0,0.0,-0.005
31,120.0,20.0,5.765415e+06,149958.2,0.0,0.0,-0.055
32,120.0,20.0,771279.1,-1.4556429e+06,0.0,0.0,-0.005
33,120.0,20.0,195679.77,1.0998609e+06,0.0,0.0,-0.055
34,120.0,20.0,735539.0,1.4481664e+06,0.0,0.0,-0.055
35,120.0,20.0,1.2085509e+07,-1.3790839e+06,0.0,0.0,-0.005
36,100.0,-20.0,-4.538049e+06,26008.834,0.0,0.0,-0.055
37,80.0,-20.0,-7.202287e+06,687578.0,0.0,0.0,-0.055
38,60.0,-20.0,-3.3373698e+06,-627498.3,0.0,0.0,-0.005
39,40.0,-20.0,-6.71695e+06,-782484.75,0.0,0.0,-0.005
40,20.0,-20.0,-4.1692075e+06,489052.2,0.0,0.0,-0.055
41,40.0,20.0,3.3456272e+06,-34317.29,0.0,0.0,-0.005
42,20.0,-20.0,-8.399127e+06,-1.1682409e+06,0.0,0.0,-0.005
43,40.0,20.0,1.2516136e+07,-935227.06,0.0,0.0,-0.005
44,60.0,20.0,2.1195195e+06,-1.2089612e+06,0.0,0.0,-0.005
45,80.0,20.0,2.7108022e+06,531039.4,0.0,0.0,-0.055
46,60.0,-20.0,-5.5282405e+06,-960195.94,0.0,0.0,-0.005
47,80.0,20.0,3.724194e+06,-448513.78,0.0,0.0,-0.005
48,60.0,-20.0,-3.5992335e+06,-3.371011e+06,0.0,0.0,-0.005
49,40.0,-20.0,-4.617762e+06,-810974.6,0.0,0.0,-0.005
50,20.0,-20.0,-2.9017265e+06,243466.81,0.0,0.0,-0.055
51,0.0,-20.0,-1.2030349e+06,-440696.7,0.0,0.0,-0.005
52,20.0,20.0,5.1199185e+06,-1.2115325e+06,0.0,0.0,-0.005
53,0.0,-20.0,-565945.2,-54374.48,0.0,0.0,-0.005
54,20.0,20.0,1.7910531e+06,-392958.62,0.0,0.0,-0.005
55,40.0,20.0,8.499893e+06,-180419.77,0.0,0.0,-0.005
56,20.0,-20.0,-4.01598e+06,563378.75,0.0,0.0,-0.055
57,40.0,20.0,5.3014375e+06,-91710.6,0.0,0.0,-0.005
58,20.0,-20.0,-3.000604e+06,-766961.1,0.0,0.0,-0.005
59,0.0,-20.0,-566861.2,-1.317616e+06,0.0,0.0,-0.005
60,0.0,-20.0,-7.566492e+06,-1.3344364e+06,0.0,0.0,-0.005
61,20.0,20.0,5.546292e+06,1.1313869e+06,0.0,0.0,-0.055
62,0.0,-20.0,-2.6306825e+06,-158452.34,0.0,0.0,-0.005
63,20.0,20.0,4.3347295e+06,472884.03,0.0,0.0,-0.055
64,40.0,20.0,9.455526e+06,2.6151578e+06,0.0,0.0,-0.055
65,60.0,20.0,3.3844028e+06,353772.25,0.0,0.0,-0.055
66,80.0,20.0,981730.9,688760.1,0.0,0.0,-0.055
67,100.0,20.0,1.2971545e+06,222684.9,0.0,0.0,-0.055
68,80.0,-20.0,-437006.12,257064.9,0.0,0.0,-0.055
69,60.0,-20.0,-9.516568e+06,1.4210504e+06,0.0,0.0,-0.055
70,40.0,-20.0,-2.664578e+06,-903951.3,0.0,0.0,-0.005
71,20.0,-20.0,-3.3155762e+06,1.2157499e+06,0.0,0.0,-0.055
72,0.0,-20.0,-9.922143e+06,-251842.12,0.0,0.0,-0.005
73,20.0,20.0,1.8054926e+07,1.3986894e+06,0.0,0.0,-0.055
74,40.0,20.0,1.7860739e+06,-2.3290802e+06,0.0,0.0,-0.005
75,60.0,20.0,2.704574e+06,1.6148784e+06,0.0,0.0,-0.055
76,80.0,20.0,1.1938138e+06,642582.3,0.0,0.0,-0.055
77,100.0,20.0,341781.75,-1.00238594e+06,0.0,0.0,-0.005
78,120.0,20.0,5.0791595e+06,-241310.34,0.0,0.0,-0.005
79,100.0,-20.0,-636544.25,-1.0991799e+06,0.0,0.0,-0.005
80,120.0,20.0,1.857352e+07,1.150626e+06,0.0,0.0,-0.055
81,120.0,20.0,888462.5,547801.56,0.0,0.0,-0.055
82,120.0,20.0,5.6840805e+06,410924.47,0.0,0.0,-0.055
83,100.0,-20.0,-2.311965e+06,-186527.16,0.0,0.0,-0.005
84,120.0,20.0,1.4640795e+07,-832960.75,0.0,0.0,-0.005
