episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,1.29,500,1,108,500,1,38.0,0.695192,3.42343,nan
2,1.0,-5.67,500,0,50,500,0,nan,0.620113,2.27019,nan
3,1.0,-3.87,500,0,19,500,0,nan,0.338552,1.05243,nan
4,1.0,-3.09,500,0,8,500,0,nan,0.267465,-0.845729,nan
5,1.0,-4.08,500,0,27,500,0,nan,0.377166,0.469322,nan
6,1.0,10.83,500,1,130,500,2,33.0,0.002072,-0.396581,nan
7,1.0,19.09,500,1,165,500,3,17.666666666666668,0.466259,-1.103298,nan
8,1.0,0.06,500,1,146,500,1,41.0,1.953629,-3.537025,nan
9,1.0,-9.69,500,0,142,500,0,nan,2.413653,-12.984114,nan
10,1.0,-0.08,500,1,149,500,1,23.0,1.209697,-8.455482,nan
11,1.0,0.39,500,1,139,500,1,29.0,32.803017,-19.096878,nan
12,1.0,10.89,500,1,129,500,2,22.0,0.094105,0.631634,nan
13,1.0,10.73,500,1,134,500,2,42.0,2.141959,10.485783,nan
14,1.0,9.84,500,1,151,500,2,32.0,0.284939,-5.856649,nan
15,1.0,11.36,500,1,119,500,2,9.5,0.410093,-10.588983,nan
16,1.0,69.06,500,1,166,500,8,14.75,22.24111,46.281685,nan
17,1.0,70.76,500,1,329,500,9,30.22222222222222,1.251815,2.51599,nan
18,1.0,179.54,500,1,356,500,20,9.0,65.856346,38.859612,nan
19,1.0,276.66,500,1,414,500,30,7.633333333333334,299.492401,209.325851,nan
20,1.0,315.83,500,1,432,500,34,7.794117647058823,590.409302,445.559113,nan
21,1.0,335.6,500,1,436,500,36,7.5,2084.388184,450.840637,nan
22,1.0,325.24,500,1,443,500,35,8.057142857142857,3417.643799,356.654175,nan
23,1.0,355.6,500,1,436,500,38,7.0,3500.954346,681.241455,nan
24,1.0,354.42,500,1,461,500,38,6.868421052631579,4186.067383,1018.972778,nan
25,1.0,365.48,500,1,439,500,39,6.666666666666667,4868.596191,924.852966,nan
26,1.0,376.63,500,1,416,500,40,6.375,4869.361328,1010.596008,nan
27,1.0,366.76,500,1,409,500,39,6.897435897435898,4505.588867,980.929504,nan
28,1.0,376.46,500,1,420,500,40,6.375,5625.426758,1132.686035,nan
29,1.0,376.74,500,1,412,500,40,6.375,4984.833008,845.536499,nan
30,1.0,377.0,500,1,409,500,40,6.25,5356.321289,1450.162109,nan
