Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,23.456,-20.0,-20.0,1.0,71.4246,2.0,-0.055,lick
2,3.456,-20.0,-20.0,1.0,75.9753,2.0,-0.055,lick
3,0.0,-20.0,-20.0,1.0,76.8507,2.0,-0.055,lick
4,20.0,20.0,20.0,1.0,76.6119,2.0,-0.055,lick
5,40.0,20.0,20.0,1.0,77.7121,2.0,-0.055,lick
6,60.0,20.0,20.0,0.988,78.6539,2.0,-0.055,lick
7,80.0,20.0,20.0,1.0,79.5503,2.0,-0.055,lick
8,100.0,20.0,20.0,0.999,80.7171,2.0,-0.055,lick
9,120.0,20.0,20.0,1.0,81.6248,2.0,9.945,lick
10,100.0,-20.0,-20.0,1.0,72.699,2.0,-0.055,lick
11,80.0,-20.0,-20.0,1.0,73.0446,2.0,-0.055,lick
12,60.0,-20.0,-20.0,1.0,73.7795,2.0,-0.055,lick
13,40.0,-20.0,-20.0,1.0,74.3229,2.0,-0.055,lick
14,20.0,-20.0,-20.0,1.0,75.075,2.0,-0.055,lick
15,0.0,-20.0,-20.0,1.0,75.8748,2.0,-0.055,lick
16,20.0,20.0,20.0,1.0,76.2675,2.0,-0.055,lick
17,40.0,20.0,20.0,1.0,77.9494,2.0,-0.055,lick
18,60.0,20.0,20.0,1.0,78.8257,2.0,-0.055,lick
19,80.0,20.0,20.0,1.0,79.7123,2.0,-0.055,lick
20,100.0,20.0,20.0,1.0,80.834,2.0,-0.055,lick
21,120.0,20.0,20.0,1.0,81.8226,2.0,9.945,lick
22,120.0,19.868,19.868,1.0,72.7524,2.0,-0.055,lick
23,100.0,-20.0,-20.0,1.0,72.7208,2.0,-0.055,lick
24,80.0,-20.0,-20.0,1.0,72.7987,2.0,-0.055,lick
25,60.0,-20.0,-20.0,1.0,73.5179,2.0,-0.055,lick
26,40.0,-20.0,-20.0,1.0,74.2059,2.0,-0.055,lick
27,20.0,-20.0,-20.0,1.0,74.6995,2.0,-0.055,lick
28,0.004,-19.996,-19.996,1.0,75.5004,2.0,-0.055,lick
29,20.004,20.0,20.0,1.0,76.1292,2.0,-0.055,lick
30,40.004,20.0,20.0,1.0,78.1125,2.0,-0.055,lick
31,60.004,20.0,20.0,1.0,79.0416,2.0,-0.055,lick
32,80.004,20.0,20.0,1.0,80.1156,2.0,-0.055,lick
33,100.004,20.0,20.0,1.0,80.9539,2.0,-0.055,lick
34,120.0,20.0,20.0,1.0,81.8539,2.0,9.945,lick
35,100.0,-20.0,-20.0,1.0,72.6867,2.0,-0.055,lick
36,80.0,-20.0,-20.0,1.0,72.5294,2.0,-0.055,lick
37,60.0,-20.0,-20.0,1.0,73.2407,2.0,-0.055,lick
38,40.0,-20.0,-20.0,1.0,74.0622,2.0,-0.055,lick
39,20.0,-20.0,-20.0,1.0,74.5918,2.0,-0.055,lick
40,0.0,-20.0,-20.0,1.0,75.3958,2.0,-0.055,lick
41,20.0,20.0,20.0,1.0,75.9866,2.0,-0.055,lick
42,40.0,20.0,20.0,0.997,78.1649,2.0,-0.055,lick
43,60.0,20.0,20.0,1.0,79.0205,2.0,-0.055,lick
44,80.0,20.0,20.0,1.0,80.0007,2.0,-0.055,lick
45,100.0,20.0,20.0,1.0,80.8309,2.0,-0.055,lick
46,120.0,20.0,20.0,1.0,81.6867,2.0,9.945,lick
47,100.0,-20.0,-20.0,1.0,72.4319,2.0,-0.055,lick
48,80.0,-20.0,-20.0,1.0,72.2815,2.0,-0.055,lick
49,60.0,-20.0,-20.0,1.0,72.9887,2.0,-0.055,lick
50,40.0,-20.0,-20.0,1.0,73.8159,2.0,-0.055,lick
51,20.0,-20.0,-20.0,1.0,74.335,2.0,-0.055,lick
52,0.0,-20.0,-20.0,1.0,75.1495,2.0,-0.055,lick
