episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,6.25,500,1,225,2,41.5,nan,nan,nan
2,1.0,5.8,500,1,234,2,146.5,0.462214,-0.041941,nan
3,1.0,-22.3,500,0,396,0,nan,0.163479,-2.063164,nan
4,1.0,-23.1,500,0,412,0,nan,0.039117,-1.568766,nan
5,1.0,-16.0,500,0,270,0,nan,0.041298,-1.981171,nan
6,1.0,-9.1,500,0,132,0,nan,0.026007,-2.387324,nan
7,1.0,-8.5,500,0,120,0,nan,0.109898,-3.204926,nan
8,1.0,-8.2,500,0,114,0,nan,0.019701,-3.998985,nan
9,1.0,-9.1,500,0,132,0,nan,0.029881,-4.407877,nan
10,1.0,-8.15,500,0,113,0,nan,0.040521,-5.324351,nan
11,1.0,-7.05,500,0,91,0,nan,0.159024,-5.80026,nan
12,1.0,-8.1,500,0,112,0,nan,0.335675,-6.186217,nan
13,1.0,-7.4,500,0,98,0,nan,0.22779,-6.88012,nan
14,1.0,-7.55,500,0,101,0,nan,0.525249,-8.865906,nan
15,1.0,-6.65,500,0,83,0,nan,0.134789,-10.913492,nan
16,1.0,-6.85,500,0,87,0,nan,0.934653,-12.071734,nan
17,1.0,-7.15,500,0,93,0,nan,2.006163,-17.066051,nan
18,1.0,-6.75,500,0,85,0,nan,2.435405,-22.662125,nan
19,1.0,-6.4,500,0,78,0,nan,5.666716,-24.196224,nan
20,1.0,-6.2,500,0,74,0,nan,51.724884,-31.295937,nan
21,1.0,-6.6,500,0,82,0,nan,1.611365,-41.368973,nan
22,1.0,-6.7,500,0,84,0,nan,8.356658,-50.132172,nan
23,1.0,-6.5,500,0,80,0,nan,25.430101,-59.026596,nan
24,1.0,-6.35,500,0,77,0,nan,273.150696,-74.866058,nan
25,1.0,-5.55,500,0,61,0,nan,3.167017,-90.318275,nan
26,1.0,-9.35,500,0,137,0,nan,65.237602,-106.507317,nan
27,1.0,-10.85,500,0,167,0,nan,87.89669,-127.479645,nan
28,1.0,-10.95,500,0,169,0,nan,9.265546,-140.85466,nan
29,1.0,-9.75,500,0,145,0,nan,2629.280273,-157.095261,nan
30,1.0,-11.2,500,0,174,0,nan,89.996613,-172.05722,nan
31,1.0,-10.35,500,0,157,0,nan,46.457954,-190.229462,nan
32,1.0,-10.65,500,0,163,0,nan,267.328217,-214.281342,nan
33,1.0,-9.4,500,0,138,0,nan,182.027344,-229.839355,nan
34,1.0,-11.5,500,0,180,0,nan,36.440704,-260.825012,nan
35,1.0,-11.1,500,0,172,0,nan,33.284855,-306.7388,nan
36,1.0,-11.0,500,0,170,0,nan,393.119507,-342.885284,nan
37,1.0,-12.45,500,0,199,0,nan,1029.997192,-397.147308,nan
38,1.0,-11.6,500,0,182,0,nan,1319.567261,-437.8302,nan
39,1.0,-12.55,500,0,201,0,nan,1211.627808,-485.491821,nan
40,1.0,-12.25,500,0,195,0,nan,84.365845,-517.652039,nan
41,1.0,-12.3,500,0,196,0,nan,132.409698,-561.586609,nan
42,1.0,-12.5,500,0,200,0,nan,5450.350098,-603.349792,nan
43,1.0,-12.0,500,0,190,0,nan,386.417999,-604.9328,nan
44,1.0,-12.8,500,0,206,0,nan,7655.127441,-705.487,nan
45,1.0,-12.35,500,0,197,0,nan,257.357788,-720.784302,nan
46,1.0,-12.15,500,0,193,0,nan,1157.276245,-714.547241,nan
47,1.0,-12.65,500,0,203,0,nan,1855.057495,-727.343384,nan
48,1.0,-13.2,500,0,214,0,nan,193.282074,-832.822021,nan
