Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,49.672,-20.0,-20.0,0.595,0.0173,0.0,-0.055
2,55.563,5.891,5.891,1.0,0.1323,0.0,-0.055
3,35.563,-20.0,-20.0,1.0,-0.083,0.0,-0.055
4,15.563,-20.0,-20.0,-1.0,0.417,0.0,-0.005
5,0.0,-20.0,-20.0,1.0,1.178,0.0,-0.055
6,2.618,2.618,2.618,-1.0,1.1766,0.0,-0.005
7,0.0,-20.0,-20.0,1.0,1.5446,0.0,-0.055
8,0.0,-16.089,-16.089,-1.0,0.817,0.0,-0.005
9,0.0,-20.0,-20.0,1.0,0.9806,0.0,-0.055
10,0.0,-20.0,-20.0,-1.0,0.8592,0.0,-0.005
11,20.0,20.0,20.0,-1.0,0.6064,0.0,-0.005
12,0.0,-20.0,-20.0,1.0,1.003,0.0,-0.055
13,0.0,-20.0,-20.0,-1.0,1.1967,0.0,-0.005
14,0.0,-20.0,-20.0,-1.0,1.1026,0.0,-0.005
15,20.0,20.0,20.0,1.0,0.5665,0.0,-0.055
16,40.0,20.0,20.0,-1.0,0.5051,0.0,-0.005
17,20.0,-20.0,-20.0,-1.0,0.6597,0.0,-0.005
18,0.0,-20.0,-20.0,1.0,1.1139,0.0,-0.055
19,20.0,20.0,20.0,-1.0,0.4568,0.0,-0.005
20,0.0,-20.0,-20.0,-1.0,0.9558,0.0,-0.005
21,20.0,20.0,20.0,1.0,0.6583,0.0,-0.055
22,0.0,-20.0,-20.0,1.0,0.8525,0.0,-0.055
23,20.0,20.0,20.0,-1.0,0.3733,0.0,-0.005
24,40.0,20.0,20.0,1.0,0.2883,0.0,-0.055
25,20.0,-20.0,-20.0,1.0,0.6003,0.0,-0.055
26,0.0,-20.0,-20.0,0.814,0.935,0.0,-0.055
27,20.0,20.0,20.0,0.949,0.463,0.0,-0.055
28,0.0,-20.0,-20.0,1.0,0.9149,0.0,-0.055
29,20.0,20.0,20.0,1.0,0.6174,0.0,-0.055
30,40.0,20.0,20.0,-1.0,0.2463,0.0,-0.005
31,60.0,20.0,20.0,1.0,0.0186,0.0,-0.055
32,40.0,-20.0,-20.0,1.0,0.1675,0.0,-0.055
33,20.0,-20.0,-20.0,-1.0,0.4432,0.0,-0.005
34,40.0,20.0,20.0,1.0,0.2704,0.0,-0.055
35,20.0,-20.0,-20.0,1.0,0.5858,0.0,-0.055
36,40.0,20.0,20.0,-1.0,0.2815,0.0,-0.005
37,20.0,-20.0,-20.0,-0.449,0.5914,0.0,-0.005
38,0.0,-20.0,-20.0,0.133,1.1341,0.0,-0.055
39,0.0,-20.0,-20.0,-1.0,1.0603,0.0,-0.005
40,0.0,-20.0,-20.0,-1.0,0.9933,0.0,-0.005
41,20.0,20.0,20.0,-1.0,0.5467,0.0,-0.005
42,40.0,20.0,20.0,-1.0,0.4448,0.0,-0.005
43,60.0,20.0,20.0,-1.0,0.142,0.0,-0.005
44,80.0,20.0,20.0,1.0,-0.206,0.0,-0.055
45,100.0,20.0,20.0,-1.0,-0.7015,0.0,-0.005
46,80.0,-20.0,-20.0,1.0,-0.6035,0.0,-0.055
47,60.0,-20.0,-20.0,1.0,-0.395,0.0,-0.055
48,80.0,20.0,20.0,-1.0,-0.4997,0.0,-0.005
49,100.0,20.0,20.0,-1.0,-0.6709,0.0,-0.005
50,80.0,-20.0,-20.0,1.0,-0.3999,0.0,-0.055
51,60.0,-20.0,-20.0,-1.0,-0.4536,0.0,-0.005
52,80.0,20.0,20.0,1.0,-0.2625,0.0,-0.055
53,60.0,-20.0,-20.0,1.0,0.0206,0.0,-0.055
54,40.0,-20.0,-20.0,1.0,0.1632,0.0,-0.055
55,20.0,-20.0,-20.0,1.0,0.6355,0.0,-0.055
56,40.0,20.0,20.0,-1.0,0.4201,0.0,-0.005
57,60.0,20.0,20.0,-1.0,0.1738,0.0,-0.005
58,80.0,20.0,20.0,-1.0,-0.3028,0.0,-0.005
59,60.0,-20.0,-20.0,-1.0,0.1077,0.0,-0.005
60,40.0,-20.0,-20.0,-1.0,0.3139,0.0,-0.005
61,20.0,-20.0,-20.0,-1.0,0.9136,0.0,-0.005
62,40.0,20.0,20.0,1.0,0.3181,0.0,-0.055
63,60.0,20.0,20.0,-1.0,0.0794,0.0,-0.005
64,40.0,-20.0,-20.0,1.0,0.0128,0.0,-0.055
65,20.0,-20.0,-20.0,1.0,0.416,0.0,-0.055
66,0.0,-20.0,-20.0,-0.976,1.309,0.0,-0.005
67,20.0,20.0,20.0,1.0,0.5688,0.0,-0.055
68,0.0,-20.0,-20.0,-1.0,1.5066,0.0,-0.005
69,0.0,-13.523,-13.523,1.0,1.0327,0.0,-0.055
70,20.0,20.0,20.0,-0.66,0.5603,0.0,-0.005
71,40.0,20.0,20.0,1.0,0.2469,0.0,-0.055
72,60.0,20.0,20.0,1.0,0.0346,0.0,-0.055
73,40.0,-20.0,-20.0,-1.0,0.4936,0.0,-0.005
74,60.0,20.0,20.0,-1.0,-0.0245,0.0,-0.005
75,40.0,-20.0,-20.0,1.0,0.1295,0.0,-0.055
76,27.102,-12.898,-12.898,1.0,-0.08,0.0,-0.055
77,28.294,1.191,1.191,-1.0,0.7615,0.0,-0.005
78,48.294,20.0,20.0,-1.0,-0.0073,0.0,-0.005
79,68.294,20.0,20.0,-1.0,0.0717,0.0,-0.005
80,48.294,-20.0,-20.0,1.0,0.5015,0.0,-0.055
81,49.868,1.574,1.574,1.0,0.6257,0.0,-0.055
82,29.868,-20.0,-20.0,-1.0,0.3978,0.0,-0.005
83,9.868,-20.0,-20.0,1.0,0.6259,0.0,-0.055
