episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
1,1.0,-3.89,500,0,0,0,278,nan,nan,nan
2,1.0,-3.895,500,0,0,0,279,nan,nan,nan
3,1.0,-3.565,500,0,1,0,213,nan,nan,nan
4,1.0,-3.705,500,0,1,0,241,nan,nan,nan
5,1.0,-3.43,500,0,1,0,186,0.046417,0.0128,nan
6,1.0,-3.44,500,0,1,0,188,nan,nan,nan
7,1.0,-3.455,500,0,1,0,191,nan,nan,nan
8,1.0,-3.495,500,0,1,0,199,nan,nan,nan
9,1.0,-3.515,500,0,0,0,203,0.022656,0.003129,nan
10,1.0,-3.585,500,0,0,0,217,nan,nan,nan
11,1.0,-3.275,500,0,1,0,155,nan,nan,nan
12,1.0,97.945,299,0,1,0,112,nan,nan,nan
13,1.0,97.825,313,0,1,0,122,nan,nan,nan
14,1.0,-3.44,500,0,0,0,188,440.330998,0.012389,nan
15,1.0,-3.33,500,0,0,0,166,nan,nan,nan
16,1.0,-3.23,500,0,1,0,146,nan,nan,nan
17,1.0,-3.14,500,0,1,0,128,nan,nan,nan
18,1.0,-3.175,500,0,1,0,135,3.921268,0.005901,nan
19,1.0,-3.19,500,0,1,0,138,nan,nan,nan
20,1.0,-3.24,500,0,1,0,148,nan,nan,nan
21,1.0,-3.35,500,0,1,0,170,nan,nan,nan
22,1.0,-3.21,500,0,1,0,142,0.036003,-0.007658,nan
23,1.0,-3.255,500,0,1,0,151,nan,nan,nan
24,1.0,-3.225,500,0,1,0,145,nan,nan,nan
25,1.0,-3.195,500,0,1,0,139,nan,nan,nan
26,1.0,-3.36,500,0,1,0,172,0.022876,0.001249,nan
27,1.0,-3.19,500,0,1,0,138,nan,nan,nan
28,1.0,-3.27,500,0,1,0,154,nan,nan,nan
29,1.0,-3.23,500,0,1,0,146,nan,nan,nan
30,1.0,-3.185,500,0,1,0,137,0.022595,0.002347,nan
31,1.0,-3.205,500,0,1,0,141,nan,nan,nan
32,1.0,-3.14,500,0,1,0,128,nan,nan,nan
33,1.0,-3.23,500,0,1,0,146,nan,nan,nan
34,1.0,-3.24,500,0,1,0,148,0.022349,0.001172,nan
35,1.0,-3.21,500,0,1,0,142,nan,nan,nan
36,1.0,-3.185,500,0,1,0,137,nan,nan,nan
37,1.0,-3.265,500,0,1,0,153,nan,nan,nan
38,1.0,-3.15,500,0,1,0,130,0.02382,-0.0004,nan
39,1.0,-3.15,500,0,1,0,130,nan,nan,nan
40,1.0,-3.25,500,0,1,0,150,nan,nan,nan
41,1.0,-3.07,500,0,1,0,114,nan,nan,nan
42,1.0,-3.16,500,0,1,0,132,0.02336,-0.002451,nan
