episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-12.55,500,0,201,0,nan,nan,nan,nan
2,1.0,-11.8,500,1,206,1,302.0,nan,nan,nan
3,1.0,-12.75,500,0,205,0,nan,nan,nan,nan
4,1.0,-12.15,500,0,193,0,nan,nan,nan,nan
5,1.0,-11.6,500,0,182,0,nan,0.933473,-0.003843,nan
6,1.0,-10.7,500,0,164,0,nan,nan,nan,nan
7,1.0,-10.8,500,0,166,0,nan,nan,nan,nan
8,1.0,-11.45,500,1,199,1,216.0,nan,nan,nan
9,1.0,-10.3,500,0,156,0,nan,0.324444,0.004934,nan
10,1.0,-8.7,500,0,124,0,nan,nan,nan,nan
11,1.0,-8.95,500,0,129,0,nan,nan,nan,nan
12,1.0,-9.85,500,0,147,0,nan,nan,nan,nan
13,1.0,-9.25,500,0,135,0,nan,0.263361,0.008505,nan
14,1.0,-7.95,500,0,109,0,nan,nan,nan,nan
15,1.0,-8.4,500,0,118,0,nan,nan,nan,nan
16,1.0,-7.65,500,0,103,0,nan,nan,nan,nan
17,1.0,-9.1,500,0,132,0,nan,0.178134,0.001686,nan
18,1.0,-9.55,500,0,141,0,nan,nan,nan,nan
19,1.0,-9.15,500,0,133,0,nan,nan,nan,nan
20,1.0,-9.6,500,0,142,0,nan,nan,nan,nan
21,1.0,-8.4,500,0,118,0,nan,0.19381,0.00207,nan
22,1.0,-8.1,500,0,112,0,nan,nan,nan,nan
23,1.0,-8.45,500,0,119,0,nan,nan,nan,nan
24,1.0,-7.85,500,0,107,0,nan,nan,nan,nan
25,1.0,-7.95,500,0,109,0,nan,0.164851,-0.003683,nan
26,1.0,-7.55,500,0,101,0,nan,nan,nan,nan
27,1.0,-7.55,500,0,101,0,nan,nan,nan,nan
28,1.0,-7.15,500,0,93,0,nan,nan,nan,nan
29,1.0,-6.2,500,0,74,0,nan,0.160355,-0.007046,nan
30,1.0,-6.5,500,0,80,0,nan,nan,nan,nan
31,1.0,-5.4,500,0,58,0,nan,nan,nan,nan
32,1.0,-5.65,500,0,63,0,nan,nan,nan,nan
33,1.0,-6.1,500,0,72,0,nan,0.109276,-0.003147,nan
34,1.0,-4.95,500,0,49,0,nan,nan,nan,nan
35,1.0,-5.1,500,0,52,0,nan,nan,nan,nan
36,1.0,-5.45,500,0,59,0,nan,nan,nan,nan
37,1.0,-4.65,500,0,43,0,nan,0.07612,-0.004002,nan
38,1.0,-4.5,500,0,40,0,nan,nan,nan,nan
39,1.0,-4.25,500,0,35,0,nan,nan,nan,nan
40,1.0,-4.15,500,0,33,0,nan,nan,nan,nan
41,1.0,-4.25,500,0,35,0,nan,0.047003,-0.001015,nan
42,1.0,-4.55,500,0,41,0,nan,nan,nan,nan
43,1.0,-4.2,500,0,34,0,nan,nan,nan,nan
44,1.0,-4.35,500,0,37,0,nan,nan,nan,nan
45,1.0,-3.9,500,0,28,0,nan,nan,nan,nan
46,1.0,-3.85,500,0,27,0,nan,0.057947,-0.001529,nan
47,1.0,-4.05,500,0,31,0,nan,nan,nan,nan
48,1.0,-3.95,500,0,29,0,nan,nan,nan,nan
49,1.0,-4.05,500,0,31,0,nan,nan,nan,nan
50,1.0,-3.35,500,0,17,0,nan,0.044642,-0.0057,nan
51,1.0,-3.3,500,0,16,0,nan,nan,nan,nan
52,1.0,-3.6,500,0,22,0,nan,nan,nan,nan
53,1.0,-4.0,500,0,30,0,nan,nan,nan,nan
54,1.0,-3.3,500,0,16,0,nan,0.035243,-0.00189,nan
55,1.0,-3.35,500,0,17,0,nan,nan,nan,nan
56,1.0,-3.4,500,0,18,0,nan,nan,nan,nan
57,1.0,-3.3,500,0,16,0,nan,nan,nan,nan
58,1.0,-3.1,500,0,12,0,nan,0.026433,-0.001094,nan
59,1.0,-3.15,500,0,13,0,nan,nan,nan,nan
60,1.0,-3.3,500,0,16,0,nan,nan,nan,nan
61,1.0,-3.45,500,0,19,0,nan,nan,nan,nan
62,1.0,-3.4,500,0,18,0,nan,0.028975,-0.001968,nan
63,1.0,-3.3,500,0,16,0,nan,nan,nan,nan
64,1.0,-3.4,500,0,18,0,nan,nan,nan,nan
65,1.0,-3.25,500,0,15,0,nan,nan,nan,nan
66,1.0,-3.05,500,0,11,0,nan,0.024839,-0.004628,nan
67,1.0,-3.0,500,0,10,0,nan,nan,nan,nan
68,1.0,-3.1,500,0,12,0,nan,nan,nan,nan
69,1.0,-2.8,500,0,6,0,nan,nan,nan,nan
70,1.0,-2.95,500,0,9,0,nan,0.022818,0.001087,nan
71,1.0,-2.8,500,0,6,0,nan,nan,nan,nan
72,1.0,-2.9,500,0,8,0,nan,nan,nan,nan
73,1.0,-2.95,500,0,9,0,nan,nan,nan,nan
74,1.0,-2.7,500,0,4,0,nan,0.022338,-0.003462,nan
75,1.0,-2.85,500,0,7,0,nan,nan,nan,nan
76,1.0,-3.0,500,0,10,0,nan,nan,nan,nan
77,1.0,-2.9,500,0,8,0,nan,nan,nan,nan
78,1.0,-2.75,500,0,5,0,nan,0.023327,0.000622,nan
79,1.0,-2.85,500,0,7,0,nan,nan,nan,nan
80,1.0,-2.95,500,0,9,0,nan,nan,nan,nan
81,1.0,-2.65,500,0,3,0,nan,nan,nan,nan
82,1.0,-2.65,500,0,3,0,nan,0.019168,-0.000882,nan
83,1.0,-2.6,500,0,2,0,nan,nan,nan,nan
84,1.0,-2.7,500,0,4,0,nan,nan,nan,nan
85,1.0,-2.7,500,0,4,0,nan,nan,nan,nan
86,1.0,-2.9,500,0,8,0,nan,nan,nan,nan
87,1.0,-2.9,500,0,8,0,nan,0.019197,-0.001254,nan
88,1.0,-2.85,500,0,7,0,nan,nan,nan,nan
89,1.0,-2.75,500,0,5,0,nan,nan,nan,nan
90,1.0,-2.7,500,0,4,0,nan,nan,nan,nan
91,1.0,-2.75,500,0,5,0,nan,0.018823,-0.000434,nan
92,1.0,-2.7,500,0,4,0,nan,nan,nan,nan
93,1.0,-2.65,500,0,3,0,nan,nan,nan,nan
