episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-12.85,500,1,247,2,63.5,nan,nan,nan
2,1.0,-11.45,500,1,239,3,56.666666666666664,nan,nan,nan
3,1.0,-11.55,500,1,221,2,150.5,nan,nan,nan
4,1.0,-11.75,500,1,225,2,49.0,nan,nan,nan
5,1.0,-14.65,500,1,263,1,36.0,nan,nan,nan
6,1.0,-13.55,500,1,241,1,15.0,nan,nan,nan
7,1.0,-13.4,500,1,258,2,27.5,nan,nan,nan
8,1.0,-11.15,500,1,233,3,60.666666666666664,nan,nan,nan
9,1.0,-13.95,500,1,249,1,27.0,nan,nan,nan
10,1.0,-12.75,500,1,245,2,34.5,nan,nan,nan
11,1.0,-14.15,500,1,253,1,34.0,nan,nan,nan
12,1.0,-13.95,500,0,229,0,nan,nan,nan,nan
13,1.0,-11.35,500,1,237,3,33.333333333333336,nan,nan,nan
14,1.0,-12.85,500,1,227,1,45.0,nan,nan,nan
15,1.0,-12.75,500,1,245,2,30.5,nan,nan,nan
16,1.0,-12.4,500,1,238,2,72.5,nan,nan,nan
17,1.0,-13.4,500,1,258,2,35.5,nan,nan,nan
18,1.0,-12.55,500,1,241,2,26.5,nan,nan,nan
19,1.0,-11.55,500,1,261,4,52.0,nan,nan,nan
20,1.0,-11.75,500,1,245,3,47.0,nan,nan,nan
21,1.0,-13.1,500,1,252,2,44.0,nan,nan,nan
22,1.0,-12.4,500,1,238,2,100.5,nan,nan,nan
23,1.0,-13.85,500,1,247,1,51.0,nan,nan,nan
24,1.0,-11.75,500,1,225,2,58.0,nan,nan,nan
25,1.0,-12.5,500,1,240,2,29.5,nan,nan,nan
26,1.0,-12.5,500,1,240,2,84.0,nan,nan,nan
27,1.0,-13.15,500,1,253,2,93.0,nan,nan,nan
28,1.0,-13.85,500,1,247,1,49.0,nan,nan,nan
29,1.0,-11.5,500,1,240,3,112.0,nan,nan,nan
30,1.0,-13.0,500,1,230,1,33.0,nan,nan,nan
31,1.0,-14.3,500,1,256,1,133.0,nan,nan,nan
32,1.0,-12.3,500,1,256,3,58.666666666666664,nan,nan,nan
33,1.0,-14.5,500,1,260,1,110.0,nan,nan,nan
34,1.0,-12.35,500,1,257,3,88.33333333333333,nan,nan,nan
35,1.0,-14.9,500,1,268,1,36.0,nan,nan,nan
36,1.0,-11.7,500,1,224,2,56.0,nan,nan,nan
37,1.0,-13.75,500,1,245,1,65.0,nan,nan,nan
38,1.0,-11.35,500,1,237,3,71.33333333333333,nan,nan,nan
39,1.0,-11.65,500,1,243,3,57.333333333333336,nan,nan,nan
40,1.0,-12.95,500,1,249,2,75.0,nan,nan,nan
41,1.0,-13.5,500,1,240,1,132.0,nan,nan,nan
42,1.0,-13.4,500,1,238,1,123.0,nan,nan,nan
43,1.0,-13.95,500,1,249,1,16.0,nan,nan,nan
44,1.0,-11.95,500,1,229,2,95.5,nan,nan,nan
45,1.0,-12.9,500,1,248,2,108.5,nan,nan,nan
46,1.0,-12.6,500,1,242,2,144.5,nan,nan,nan
47,1.0,-13.2,500,1,254,2,97.5,nan,nan,nan
48,1.0,-12.55,500,1,241,2,37.5,nan,nan,nan
49,1.0,-12.8,500,1,226,1,48.0,nan,nan,nan
50,1.0,-12.9,500,1,248,2,119.5,nan,nan,nan
51,1.0,-11.55,500,1,221,2,68.5,nan,nan,nan
52,1.0,-12.05,500,1,251,3,34.333333333333336,nan,nan,nan
53,1.0,-13.2,500,1,254,2,65.0,nan,nan,nan
54,1.0,-11.95,500,1,229,2,78.5,nan,nan,nan
55,1.0,-12.35,500,1,257,3,50.666666666666664,nan,nan,nan
56,1.0,-12.85,500,1,247,2,56.5,nan,nan,nan
57,1.0,-13.8,500,1,246,1,69.0,nan,nan,nan
58,1.0,-12.8,500,1,246,2,83.5,nan,nan,nan
59,1.0,-12.5,500,1,240,2,57.5,nan,nan,nan
60,1.0,-14.85,500,0,247,0,nan,nan,nan,nan
61,1.0,-13.9,500,1,248,1,54.0,nan,nan,nan
62,1.0,-13.9,500,1,248,1,49.0,nan,nan,nan
63,1.0,-14.9,500,0,248,0,nan,nan,nan,nan
64,1.0,-12.6,500,1,222,1,83.0,nan,nan,nan
65,1.0,-11.25,500,1,235,3,118.33333333333333,nan,nan,nan
66,1.0,-11.95,500,1,249,3,62.0,nan,nan,nan
67,1.0,-13.45,500,1,259,2,49.0,nan,nan,nan
68,1.0,-13.0,500,1,250,2,107.5,nan,nan,nan
69,1.0,-13.7,500,1,244,1,19.0,nan,nan,nan
70,1.0,-12.6,500,1,242,2,117.0,nan,nan,nan
71,1.0,-12.65,500,1,223,1,72.0,nan,nan,nan
72,1.0,-13.15,500,1,253,2,30.0,nan,nan,nan
73,1.0,-13.4,500,1,238,1,188.0,nan,nan,nan
74,1.0,-11.0,500,1,230,3,55.666666666666664,nan,nan,nan
75,1.0,-12.5,500,1,240,2,72.0,nan,nan,nan
76,1.0,-12.25,500,1,235,2,84.0,nan,nan,nan
77,1.0,-11.7,500,1,244,3,35.666666666666664,nan,nan,nan
78,1.0,-14.75,500,0,245,0,nan,nan,nan,nan
79,1.0,-14.55,500,0,241,0,nan,nan,nan,nan
80,1.0,-13.4,500,1,238,1,99.0,nan,nan,nan
81,1.0,-11.85,500,1,227,2,50.0,nan,nan,nan
82,1.0,-13.65,500,1,243,1,145.0,nan,nan,nan
83,1.0,-13.2,500,1,234,1,68.0,nan,nan,nan
84,1.0,-13.6,500,1,242,1,112.0,nan,nan,nan
85,1.0,-12.05,500,1,231,2,88.0,nan,nan,nan
86,1.0,-13.15,500,1,253,2,103.5,nan,nan,nan
87,1.0,-12.65,500,1,243,2,70.0,nan,nan,nan
88,1.0,-14.4,500,1,258,1,104.0,nan,nan,nan
89,1.0,-13.6,500,1,242,1,201.0,nan,nan,nan
90,1.0,-13.7,500,1,264,2,124.0,nan,nan,nan
91,1.0,-13.95,500,1,249,1,43.0,nan,nan,nan
92,1.0,-14.5,500,1,260,1,89.0,nan,nan,nan
93,1.0,-13.65,500,1,243,1,49.0,nan,nan,nan
94,1.0,-14.9,500,0,248,0,nan,nan,nan,nan
95,1.0,-12.8,500,1,246,2,53.0,nan,nan,nan
96,1.0,-12.45,500,1,239,2,65.5,nan,nan,nan
97,1.0,-12.2,500,1,234,2,81.0,nan,nan,nan
98,1.0,-14.55,500,1,261,1,40.0,nan,nan,nan
99,1.0,-14.6,500,0,242,0,nan,nan,nan,nan
100,1.0,-10.1,500,1,232,4,40.5,nan,nan,nan
101,1.0,-10.45,500,1,219,3,43.666666666666664,nan,nan,nan
102,1.0,-12.85,500,1,247,2,52.0,nan,nan,nan
103,1.0,-12.7,500,1,244,2,37.5,nan,nan,nan
104,1.0,-12.55,500,1,241,2,105.5,nan,nan,nan
105,1.0,-13.25,500,1,235,1,66.0,nan,nan,nan
106,1.0,-11.9,500,1,228,2,80.5,nan,nan,nan
107,1.0,-12.3,500,1,236,2,94.0,nan,nan,nan
108,1.0,-14.85,500,0,247,0,nan,nan,nan,nan
109,1.0,-11.65,500,1,243,3,67.33333333333333,nan,nan,nan
110,1.0,-10.85,500,1,227,3,62.333333333333336,nan,nan,nan
111,1.0,-12.75,500,1,245,2,125.5,nan,nan,nan
112,1.0,-13.85,500,1,247,1,29.0,nan,nan,nan
113,1.0,-14.75,500,0,245,0,nan,nan,nan,nan
114,1.0,-12.35,500,1,237,2,51.0,nan,nan,nan
115,1.0,-13.7,500,1,244,1,55.0,nan,nan,nan
116,1.0,-12.2,500,1,254,3,113.33333333333333,nan,nan,nan
117,1.0,-12.9,500,1,248,2,54.0,nan,nan,nan
118,1.0,-12.75,500,1,225,1,120.0,nan,nan,nan
119,1.0,-14.55,500,0,241,0,nan,nan,nan,nan
120,1.0,-11.45,500,1,239,3,53.333333333333336,nan,nan,nan
121,1.0,-13.0,500,1,250,2,33.0,nan,nan,nan
122,1.0,-12.35,500,1,237,2,72.5,nan,nan,nan
123,1.0,-14.2,500,1,254,1,129.0,nan,nan,nan
124,1.0,-14.45,500,0,239,0,nan,nan,nan,nan
125,1.0,-13.3,500,1,256,2,88.5,nan,nan,nan
126,1.0,-14.6,500,1,262,1,31.0,nan,nan,nan
127,1.0,-13.9,500,1,248,1,67.0,nan,nan,nan
128,1.0,-10.9,500,1,228,3,35.666666666666664,nan,nan,nan
129,1.0,-13.4,500,1,238,1,31.0,nan,nan,nan
130,1.0,-14.55,500,1,261,1,128.0,nan,nan,nan
131,1.0,-14.25,500,0,235,0,nan,nan,nan,nan
132,1.0,-14.85,500,0,247,0,nan,nan,nan,nan
133,1.0,-12.9,500,1,228,1,36.0,nan,nan,nan
134,1.0,-11.3,500,1,236,3,97.0,nan,nan,nan
135,1.0,-13.0,500,1,250,2,80.0,nan,nan,nan
136,1.0,-12.95,500,1,249,2,87.5,nan,nan,nan
137,1.0,-13.85,500,1,247,1,23.0,nan,nan,nan
138,1.0,-11.95,500,1,229,2,41.0,nan,nan,nan
139,1.0,-14.45,500,1,259,1,26.0,nan,nan,nan
140,1.0,-13.65,500,1,243,1,21.0,nan,nan,nan
141,1.0,-14.3,500,0,236,0,nan,nan,nan,nan
142,1.0,-13.75,500,1,245,1,110.0,nan,nan,nan
143,1.0,-12.5,500,1,240,2,91.5,nan,nan,nan
144,1.0,-14.35,500,1,257,1,87.0,nan,nan,nan
145,1.0,-15.75,500,1,285,1,42.0,nan,nan,nan
146,1.0,-12.0,500,1,230,2,113.0,nan,nan,nan
147,1.0,-14.05,500,1,251,1,52.0,nan,nan,nan
148,1.0,-14.15,500,0,233,0,nan,nan,nan,nan
149,1.0,-12.85,500,1,267,3,24.333333333333332,nan,nan,nan
150,1.0,-13.85,500,1,247,1,138.0,nan,nan,nan
151,1.0,-13.45,500,1,259,2,33.0,nan,nan,nan
152,1.0,-11.95,500,1,229,2,96.5,nan,nan,nan
153,1.0,-13.55,500,1,241,1,48.0,nan,nan,nan
154,1.0,-11.95,500,1,229,2,84.0,nan,nan,nan
155,1.0,-12.15,500,1,213,1,114.0,nan,nan,nan
156,1.0,-13.6,500,1,242,1,65.0,nan,nan,nan
157,1.0,-11.2,500,1,234,3,32.666666666666664,nan,nan,nan
158,1.0,-14.0,500,0,230,0,nan,nan,nan,nan
159,1.0,-13.85,500,1,247,1,72.0,nan,nan,nan
160,1.0,-12.55,500,1,241,2,71.5,nan,nan,nan
161,1.0,-12.0,500,1,250,3,52.0,nan,nan,nan
162,1.0,-12.75,500,1,245,2,109.0,nan,nan,nan
163,1.0,-12.7,500,1,244,2,54.0,nan,nan,nan
164,1.0,-12.6,500,1,242,2,73.5,nan,nan,nan
165,1.0,-14.3,500,1,256,1,190.0,nan,nan,nan
166,1.0,-14.2,500,1,254,1,69.0,nan,nan,nan
167,1.0,-13.4,500,1,258,2,64.0,nan,nan,nan
168,1.0,-11.0,500,1,230,3,57.0,nan,nan,nan
169,1.0,-14.0,500,1,250,1,51.0,nan,nan,nan
170,1.0,-12.75,500,1,245,2,51.5,nan,nan,nan
171,1.0,-11.9,500,1,228,2,106.0,nan,nan,nan
172,1.0,-12.4,500,1,258,3,54.333333333333336,nan,nan,nan
173,1.0,-12.3,500,1,236,2,63.0,nan,nan,nan
174,1.0,-13.85,500,1,247,1,28.0,nan,nan,nan
175,1.0,-12.25,500,1,235,2,118.5,nan,nan,nan
176,1.0,-13.45,500,1,239,1,27.0,nan,nan,nan
177,1.0,-12.75,500,1,245,2,72.0,nan,nan,nan
178,1.0,-14.65,500,0,243,0,nan,nan,nan,nan
179,1.0,-13.15,500,1,253,2,85.5,nan,nan,nan
180,1.0,-12.35,500,1,237,2,65.0,nan,nan,nan
181,1.0,-12.05,500,1,251,3,30.333333333333332,nan,nan,nan
182,1.0,-12.1,500,1,252,3,67.66666666666667,nan,nan,nan
183,1.0,-11.5,500,1,240,3,85.66666666666667,nan,nan,nan
184,1.0,-12.85,500,1,247,2,54.5,nan,nan,nan
185,1.0,-13.85,500,1,247,1,124.0,nan,nan,nan
186,1.0,-14.05,500,1,251,1,156.0,nan,nan,nan
187,1.0,-12.85,500,1,247,2,82.5,nan,nan,nan
188,1.0,-14.3,500,1,256,1,100.0,nan,nan,nan
189,1.0,-14.05,500,1,251,1,36.0,nan,nan,nan
190,1.0,-14.25,500,1,255,1,49.0,nan,nan,nan
191,1.0,-12.3,500,1,236,2,71.0,nan,nan,nan
192,1.0,-12.85,500,1,227,1,44.0,nan,nan,nan
193,1.0,-13.95,500,1,249,1,74.0,nan,nan,nan
194,1.0,-12.35,500,1,257,3,67.0,nan,nan,nan
195,1.0,-9.65,500,1,223,4,44.0,nan,nan,nan
196,1.0,-14.3,500,1,256,1,23.0,nan,nan,nan
197,1.0,-13.15,500,1,233,1,36.0,nan,nan,nan
198,1.0,-11.7,500,1,224,2,27.0,nan,nan,nan
