Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,56.73,-5.37,-5.37,-0.765,0.221,0.9762,-0.005
2,63.093,6.363,6.363,0.215,0.3273,0.9327,-0.055
3,48.563,-14.53,-14.53,0.795,0.6254,0.9911,-0.055
4,50.259,1.696,1.696,-0.886,0.1234,0.9387,-0.005
5,64.944,14.685,14.685,0.92,0.7179,0.9358,-0.055
6,72.636,7.692,7.692,0.183,0.4329,0.0007,-0.055
7,91.845,19.209,19.209,0.496,0.9683,0.9987,-0.055
8,75.316,-16.529,-16.529,0.521,0.7364,0.0061,-0.055
9,93.17,17.854,17.854,0.135,0.9108,0.9397,-0.055
10,91.553,-1.617,-1.617,-0.068,0.1397,0.0069,-0.005
11,108.035,16.482,16.482,-0.889,0.87,0.9867,-0.005
12,109.822,1.788,1.788,-0.473,0.1633,0.0108,-0.005
13,120.0,13.613,13.613,0.998,0.6763,0.0013,-0.055
14,120.0,18.799,18.799,-0.474,1.0019,0.9655,-0.005
15,120.0,14.398,14.398,0.883,0.7535,0.9673,-0.055
16,106.737,-13.263,-13.263,0.386,0.5952,0.9659,-0.055
17,99.692,-7.045,-7.045,-0.187,0.236,0.9561,-0.005
18,113.219,13.527,13.527,-0.611,0.7213,0.9707,-0.005
19,118.672,5.453,5.453,0.071,0.3295,0.0119,-0.055
20,120.0,17.516,17.516,0.003,0.9241,0.9579,-0.055
21,113.694,-6.306,-6.306,-0.31,0.3295,0.9672,-0.005
22,112.503,-1.191,-1.191,-0.967,0.0587,0.9768,-0.005
23,119.608,7.105,7.105,0.152,0.4068,0.9955,-0.055
24,117.041,-2.567,-2.567,0.614,0.1608,0.9603,-0.055
25,120.0,9.12,9.12,-0.85,0.5497,0.9512,-0.005
26,120.0,2.253,2.253,-0.663,0.1982,0.9625,-0.005
27,120.0,5.889,5.889,0.615,0.3369,0.9532,-0.055
28,105.046,-14.954,-14.954,-0.665,0.633,0.9588,-0.005
29,90.078,-14.968,-14.968,0.135,0.5693,0.9529,-0.055
30,89.323,-0.755,-0.755,-0.081,0.0394,0.9484,-0.005
31,93.826,4.503,4.503,-0.557,0.3033,0.9881,-0.005
32,109.136,15.309,15.309,0.906,0.7613,0.0005,-0.055
33,97.886,-11.249,-11.249,-0.252,0.5051,0.0113,-0.005
34,107.667,9.78,9.78,-0.704,0.5486,0.9579,-0.005
35,111.875,4.208,4.208,0.947,0.2331,0.0103,-0.055
36,120.0,15.93,15.93,-0.978,0.8458,0.0056,-0.005
37,114.197,-5.803,-5.803,-0.516,0.3055,0.9666,-0.005
38,120.0,12.255,12.255,-0.807,0.668,0.9787,-0.005
39,119.666,-0.334,-0.334,-0.582,0.1574,0.9649,-0.005
40,120.0,14.007,14.007,-0.103,0.7541,0.9517,-0.005
41,106.197,-13.803,-13.803,-0.801,0.6186,0.9657,-0.005
42,120.0,19.01,19.01,0.737,0.9394,0.9551,-0.055
43,120.0,16.455,16.455,-0.066,0.8752,0.9673,-0.005
44,118.286,-1.714,-1.714,0.597,0.1673,0.9668,-0.055
45,99.972,-18.314,-18.314,0.077,0.7579,0.9514,-0.055
46,107.165,7.193,7.193,-0.529,0.4297,0.9456,-0.005
47,95.395,-11.77,-11.77,0.726,0.4932,0.0081,-0.055
48,103.364,7.97,7.97,-0.465,0.4623,0.9562,-0.005
49,85.883,-17.482,-17.482,0.98,0.7385,0.0079,-0.055
50,104.957,19.074,19.074,0.866,0.939,0.9421,-0.055
51,86.808,-18.149,-18.149,0.821,0.7951,0.0089,-0.055
52,76.17,-10.639,-10.639,-0.77,0.369,0.9416,-0.005
53,79.06,2.89,2.89,-0.45,0.2198,0.9526,-0.005
54,91.579,12.519,12.519,0.455,0.6455,0.9926,-0.055
55,84.306,-7.273,-7.273,0.153,0.3286,0.0075,-0.055
56,74.941,-9.365,-9.365,0.729,0.3685,0.9642,-0.055
57,78.613,3.672,3.672,0.737,0.2196,0.9548,-0.055
58,59.898,-18.714,-18.714,-0.878,0.791,0.994,-0.005
59,49.531,-10.367,-10.367,-0.557,0.3358,0.9495,-0.005
60,49.333,-0.198,-0.198,-0.038,0.0286,0.9343,-0.005
61,48.187,-1.146,-1.146,-0.23,0.0334,0.9328,-0.005
62,64.394,16.208,16.208,-0.602,0.8318,0.9318,-0.005
63,78.789,14.394,14.394,0.693,0.7327,0.0013,-0.055
64,84.316,5.527,5.527,-0.377,0.3514,0.0038,-0.005
65,103.703,19.388,19.388,-0.509,1.0014,1.0003,-0.005
66,120.0,17.352,17.352,-0.239,0.8945,0.0085,-0.005
67,106.723,-13.277,-13.277,-0.645,0.611,0.9672,-0.005
68,95.996,-10.727,-10.727,0.897,0.4036,0.9561,-0.055
69,103.843,7.847,7.847,-0.692,0.46,0.9587,-0.005
70,88.381,-15.462,-15.462,-0.166,0.6582,0.0079,-0.005
71,70.969,-17.412,-17.412,-0.846,0.6724,0.9465,-0.005
72,60.635,-10.334,-10.334,0.314,0.3839,0.9366,-0.055
73,56.223,-4.412,-4.412,0.509,0.1437,0.9463,-0.055
74,53.816,-2.407,-2.407,0.568,0.0473,0.9327,-0.055
