episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,9.45,500,1,135,500,2,71.5,nan,nan,nan
2,1.0,-11.11,500,0,152,500,0,nan,nan,nan,nan
3,1.0,-1.63,500,1,164,500,1,47.0,nan,nan,nan
4,1.0,17.71,500,1,174,500,3,101.66666666666667,nan,nan,nan
5,1.0,8.66,500,1,157,500,2,68.5,nan,nan,nan
6,1.0,-0.71,500,1,143,500,1,104.0,nan,nan,nan
7,1.0,7.97,500,1,171,500,2,154.0,nan,nan,nan
8,1.0,9.06,500,1,147,500,2,132.0,nan,nan,nan
9,1.0,-1.24,500,1,156,500,1,275.0,nan,nan,nan
10,1.0,18.29,500,1,164,500,3,74.33333333333333,nan,nan,nan
11,1.0,-0.82,500,1,147,500,1,98.0,nan,nan,nan
12,1.0,9.19,500,1,142,500,2,102.0,nan,nan,nan
13,1.0,9.42,500,1,139,500,2,152.5,nan,nan,nan
14,1.0,-1.08,500,1,150,500,1,377.0,nan,nan,nan
15,1.0,-10.41,500,0,138,500,0,nan,nan,nan,nan
16,1.0,-1.98,500,1,170,500,1,29.0,nan,nan,nan
17,1.0,9.11,500,1,148,500,2,48.5,nan,nan,nan
18,1.0,9.92,500,1,129,500,2,114.0,nan,nan,nan
19,1.0,8.34,500,1,162,500,2,216.0,nan,nan,nan
20,1.0,-1.27,500,1,153,500,1,168.0,nan,nan,nan
21,1.0,-0.87,500,1,150,500,1,174.0,nan,nan,nan
22,1.0,-1.73,500,1,163,500,1,51.0,nan,nan,nan
23,1.0,18.06,500,1,165,500,3,50.0,nan,nan,nan
24,1.0,-0.79,500,1,141,500,1,30.0,nan,nan,nan
25,1.0,9.6,500,1,136,500,2,65.0,nan,nan,nan
26,1.0,-1.32,500,1,155,500,1,119.0,nan,nan,nan
27,1.0,9.42,500,1,141,500,2,79.5,nan,nan,nan
28,1.0,8.83,500,1,154,500,2,39.0,nan,nan,nan
29,1.0,-11.26,500,0,155,500,0,nan,nan,nan,nan
30,1.0,-0.7,500,1,141,500,1,244.0,nan,nan,nan
31,1.0,-10.71,500,0,142,500,0,nan,nan,nan,nan
32,1.0,9.3,500,1,142,500,2,134.5,nan,nan,nan
33,1.0,-10.21,500,0,135,500,0,nan,nan,nan,nan
34,1.0,8.7,500,1,154,500,2,171.5,nan,nan,nan
35,1.0,9.77,500,1,129,500,2,159.5,nan,nan,nan
36,1.0,-1.63,500,1,162,500,1,208.0,nan,nan,nan
37,1.0,-0.4,500,1,136,500,1,142.0,nan,nan,nan
38,1.0,9.32,500,1,142,500,2,170.0,nan,nan,nan
39,1.0,-9.73,500,0,125,500,0,nan,nan,nan,nan
40,1.0,-0.66,500,1,140,500,1,163.0,nan,nan,nan
41,1.0,8.82,500,1,154,500,2,99.0,nan,nan,nan
42,1.0,-0.78,500,1,145,500,1,64.0,nan,nan,nan
43,1.0,-0.26,500,1,132,500,1,213.0,nan,nan,nan
44,1.0,-0.25,500,1,131,500,1,270.0,nan,nan,nan
45,1.0,8.4,500,1,161,500,2,134.0,nan,nan,nan
46,1.0,-0.77,500,1,142,500,1,304.0,nan,nan,nan
47,1.0,-1.23,500,1,155,500,1,189.0,nan,nan,nan
48,1.0,9.84,500,1,132,500,2,142.0,nan,nan,nan
49,1.0,-1.39,500,1,154,500,1,194.0,nan,nan,nan
50,1.0,-0.74,500,1,145,500,1,208.0,nan,nan,nan
51,1.0,8.99,500,1,151,500,2,123.5,nan,nan,nan
52,1.0,-0.67,500,1,146,500,1,138.0,nan,nan,nan
53,1.0,9.09,500,1,144,500,2,112.0,nan,nan,nan
54,1.0,29.11,500,1,144,500,4,58.5,nan,nan,nan
55,1.0,-1.14,500,1,148,500,1,389.0,nan,nan,nan
56,1.0,8.66,500,1,153,500,2,66.0,nan,nan,nan
57,1.0,-1.3,500,1,156,500,1,242.0,nan,nan,nan
58,1.0,8.81,500,1,154,500,2,168.5,nan,nan,nan
59,1.0,10.22,500,1,123,500,2,115.0,nan,nan,nan
60,1.0,9.65,500,1,136,500,2,142.0,nan,nan,nan
61,1.0,-1.28,500,1,154,500,1,83.0,nan,nan,nan
62,1.0,-0.34,500,1,133,500,1,268.0,nan,nan,nan
63,1.0,9.45,500,1,137,500,2,67.0,nan,nan,nan
64,1.0,-1.82,500,1,164,500,1,174.0,nan,nan,nan
65,1.0,-1.71,500,1,166,500,1,97.0,nan,nan,nan
66,1.0,-0.43,500,1,140,500,1,46.0,nan,nan,nan
67,1.0,8.74,500,1,156,500,2,152.0,nan,nan,nan
68,1.0,-0.51,500,1,136,500,1,428.0,nan,nan,nan
69,1.0,-0.28,500,1,138,500,1,114.0,nan,nan,nan
70,1.0,-1.54,500,1,160,500,1,396.0,nan,nan,nan
71,1.0,9.17,500,1,144,500,2,206.0,nan,nan,nan
72,1.0,-1.14,500,1,153,500,1,325.0,nan,nan,nan
73,1.0,-0.19,500,1,132,500,1,230.0,nan,nan,nan
74,1.0,-0.66,500,1,142,500,1,64.0,nan,nan,nan
75,1.0,-0.18,500,1,133,500,1,293.0,nan,nan,nan
76,1.0,-1.8,500,1,166,500,1,462.0,nan,nan,nan
77,1.0,9.01,500,1,148,500,2,51.0,nan,nan,nan
78,1.0,8.53,500,1,161,500,2,84.5,nan,nan,nan
79,1.0,-1.03,500,1,153,500,1,120.0,nan,nan,nan
80,1.0,-11.58,500,0,158,500,0,nan,nan,nan,nan
81,1.0,18.31,500,1,164,500,3,46.0,nan,nan,nan
82,1.0,8.87,500,1,151,500,2,153.5,nan,nan,nan
83,1.0,-9.97,500,0,127,500,0,nan,nan,nan,nan
84,1.0,9.13,500,1,146,500,2,161.5,nan,nan,nan
85,1.0,8.05,500,1,168,500,2,128.5,nan,nan,nan
86,1.0,-1.34,500,1,155,500,1,21.0,nan,nan,nan
87,1.0,9.56,500,1,138,500,2,63.5,nan,nan,nan
88,1.0,9.22,500,1,145,500,2,145.0,nan,nan,nan
89,1.0,8.57,500,1,156,500,2,98.5,nan,nan,nan
90,1.0,-10.81,500,0,147,500,0,nan,nan,nan,nan
91,1.0,-1.11,500,1,149,500,1,316.0,nan,nan,nan
92,1.0,-10.9,500,0,149,500,0,nan,nan,nan,nan
93,1.0,-10.74,500,0,146,500,0,nan,nan,nan,nan
94,1.0,-11.28,500,0,154,500,0,nan,nan,nan,nan
95,1.0,-0.95,500,1,149,500,1,31.0,nan,nan,nan
96,1.0,8.72,500,1,156,500,2,194.0,nan,nan,nan
97,1.0,8.56,500,1,159,500,2,75.5,nan,nan,nan
98,1.0,-0.51,500,1,137,500,1,284.0,nan,nan,nan
99,1.0,-1.08,500,1,148,500,1,78.0,nan,nan,nan
100,1.0,-0.96,500,1,144,500,1,318.0,nan,nan,nan
101,1.0,-0.24,500,1,134,500,1,302.0,nan,nan,nan
102,1.0,9.08,500,1,149,500,2,186.5,nan,nan,nan
103,1.0,8.58,500,1,154,500,2,172.0,nan,nan,nan
104,1.0,-10.71,500,0,142,500,0,nan,nan,nan,nan
105,1.0,19.04,500,1,146,500,3,65.66666666666667,nan,nan,nan
106,1.0,9.52,500,1,139,500,2,156.0,nan,nan,nan
107,1.0,-11.16,500,0,151,500,0,nan,nan,nan,nan
108,1.0,-1.23,500,1,155,500,1,60.0,nan,nan,nan
109,1.0,-1.48,500,1,158,500,1,345.0,nan,nan,nan
110,1.0,8.65,500,1,158,500,2,81.5,nan,nan,nan
111,1.0,-1.26,500,1,151,500,1,159.0,nan,nan,nan
112,1.0,19.11,500,1,146,500,3,58.333333333333336,nan,nan,nan
113,1.0,-0.98,500,1,148,500,1,255.0,nan,nan,nan
114,1.0,-0.84,500,1,144,500,1,349.0,nan,nan,nan
115,1.0,-1.3,500,1,154,500,1,266.0,nan,nan,nan
116,1.0,-1.01,500,1,147,500,1,417.0,nan,nan,nan
117,1.0,-1.56,500,1,163,500,1,196.0,nan,nan,nan
118,1.0,-2.16,500,1,169,500,1,407.0,nan,nan,nan
119,1.0,19.7,500,1,132,500,3,85.0,nan,nan,nan
120,1.0,8.49,500,1,159,500,2,203.0,nan,nan,nan
121,1.0,-10.46,500,0,139,500,0,nan,nan,nan,nan
122,1.0,8.89,500,1,151,500,2,134.5,nan,nan,nan
123,1.0,-1.5,500,1,160,500,1,416.0,nan,nan,nan
124,1.0,9.0,500,1,151,500,2,97.0,nan,nan,nan
125,1.0,-0.79,500,1,143,500,1,93.0,nan,nan,nan
126,1.0,9.39,500,1,142,500,2,110.5,nan,nan,nan
127,1.0,9.1,500,1,148,500,2,159.0,nan,nan,nan
128,1.0,-0.77,500,1,145,500,1,70.0,nan,nan,nan
129,1.0,9.59,500,1,133,500,2,127.5,nan,nan,nan
130,1.0,-1.41,500,1,159,500,1,114.0,nan,nan,nan
131,1.0,19.59,500,1,137,500,3,75.66666666666667,nan,nan,nan
132,1.0,38.4,500,1,161,500,5,51.6,nan,nan,nan
133,1.0,9.14,500,1,146,500,2,34.5,nan,nan,nan
134,1.0,-1.29,500,1,155,500,1,252.0,nan,nan,nan
135,1.0,-1.64,500,1,160,500,1,147.0,nan,nan,nan
136,1.0,-1.3,500,1,158,500,1,303.0,nan,nan,nan
137,1.0,19.64,500,1,136,500,3,100.66666666666667,nan,nan,nan
138,1.0,-1.99,500,1,169,500,1,272.0,nan,nan,nan
139,1.0,19.3,500,1,139,500,3,88.0,nan,nan,nan
140,1.0,-0.32,500,1,138,500,1,254.0,nan,nan,nan
141,1.0,8.66,500,1,157,500,2,108.5,nan,nan,nan
142,1.0,18.74,500,1,159,500,3,73.33333333333333,nan,nan,nan
143,1.0,18.6,500,1,159,500,3,118.0,nan,nan,nan
144,1.0,9.87,500,1,127,500,2,124.5,nan,nan,nan
145,1.0,9.35,500,1,143,500,2,172.0,nan,nan,nan
146,1.0,9.36,500,1,143,500,2,77.5,nan,nan,nan
147,1.0,8.97,500,1,151,500,2,104.5,nan,nan,nan
148,1.0,8.4,500,1,159,500,2,31.0,nan,nan,nan
149,1.0,-10.26,500,0,134,500,0,nan,nan,nan,nan
150,1.0,8.55,500,1,157,500,2,175.5,nan,nan,nan
151,1.0,-10.45,500,0,137,500,0,nan,nan,nan,nan
152,1.0,-1.24,500,1,153,500,1,34.0,nan,nan,nan
153,1.0,-0.8,500,1,145,500,1,213.0,nan,nan,nan
154,1.0,-0.62,500,1,142,500,1,96.0,nan,nan,nan
155,1.0,-1.45,500,1,156,500,1,477.0,nan,nan,nan
156,1.0,18.03,500,1,167,500,3,124.0,nan,nan,nan
157,1.0,8.74,500,1,157,500,2,92.0,nan,nan,nan
158,1.0,9.0,500,1,148,500,2,86.0,nan,nan,nan
159,1.0,9.13,500,1,143,500,2,88.0,nan,nan,nan
160,1.0,-1.15,500,1,151,500,1,221.0,nan,nan,nan
161,1.0,8.88,500,1,149,500,2,107.0,nan,nan,nan
162,1.0,-11.26,500,0,153,500,0,nan,nan,nan,nan
163,1.0,8.58,500,1,158,500,2,184.0,nan,nan,nan
164,1.0,9.02,500,1,145,500,2,173.5,nan,nan,nan
165,1.0,-10.9,500,0,143,500,0,nan,nan,nan,nan
166,1.0,19.51,500,1,137,500,3,102.0,nan,nan,nan
167,1.0,-1.19,500,1,154,500,1,109.0,nan,nan,nan
168,1.0,-0.48,500,1,138,500,1,172.0,nan,nan,nan
169,1.0,-11.1,500,0,151,500,0,nan,nan,nan,nan
170,1.0,-10.91,500,0,146,500,0,nan,nan,nan,nan
171,1.0,-1.87,500,1,165,500,1,129.0,nan,nan,nan
172,1.0,-1.18,500,1,154,500,1,268.0,nan,nan,nan
173,1.0,-0.89,500,1,150,500,1,166.0,nan,nan,nan
174,1.0,8.96,500,1,150,500,2,184.0,nan,nan,nan
175,1.0,8.74,500,1,155,500,2,41.5,nan,nan,nan
176,1.0,-0.23,500,1,136,500,1,222.0,nan,nan,nan
177,1.0,8.84,500,1,155,500,2,205.0,nan,nan,nan
178,1.0,-0.86,500,1,147,500,1,272.0,nan,nan,nan
179,1.0,-1.5,500,1,160,500,1,329.0,nan,nan,nan
180,1.0,28.88,500,1,150,500,4,57.25,nan,nan,nan
181,1.0,-1.01,500,1,148,500,1,281.0,nan,nan,nan
182,1.0,9.03,500,1,151,500,2,206.5,nan,nan,nan
183,1.0,-1.01,500,1,148,500,1,38.0,nan,nan,nan
184,1.0,-10.65,500,0,142,500,0,nan,nan,nan,nan
185,1.0,-1.54,500,1,159,500,1,382.0,nan,nan,nan
186,1.0,-0.78,500,1,145,500,1,82.0,nan,nan,nan
187,1.0,8.85,500,1,153,500,2,76.5,nan,nan,nan
188,1.0,8.39,500,1,164,500,2,81.0,nan,nan,nan
189,1.0,9.22,500,1,143,500,2,111.0,nan,nan,nan
190,1.0,8.8,500,1,152,500,2,40.0,nan,nan,nan
191,1.0,-1.18,500,1,153,500,1,212.0,nan,nan,nan
192,1.0,-1.08,500,1,150,500,1,32.0,nan,nan,nan
193,1.0,-0.94,500,1,146,500,1,124.0,nan,nan,nan
194,1.0,8.48,500,1,161,500,2,134.0,nan,nan,nan
195,1.0,-1.1,500,1,148,500,1,34.0,nan,nan,nan
196,1.0,8.72,500,1,155,500,2,86.0,nan,nan,nan
197,1.0,-1.44,500,1,159,500,1,272.0,nan,nan,nan
198,1.0,9.36,500,1,142,500,2,121.5,nan,nan,nan
199,1.0,8.55,500,1,158,500,2,150.5,nan,nan,nan
200,1.0,19.36,500,1,141,500,3,70.0,nan,nan,nan
201,1.0,9.46,500,1,139,500,2,42.0,nan,nan,nan
202,1.0,-1.0,500,1,148,500,1,304.0,nan,nan,nan
203,1.0,-1.31,500,1,154,500,1,248.0,nan,nan,nan
204,1.0,9.21,500,1,143,500,2,129.0,nan,nan,nan
205,1.0,-1.24,500,1,153,500,1,256.0,nan,nan,nan
206,1.0,-10.12,500,0,131,500,0,nan,nan,nan,nan
207,1.0,8.85,500,1,149,500,2,76.0,nan,nan,nan
208,1.0,-0.33,500,1,133,500,1,66.0,nan,nan,nan
209,1.0,-0.12,500,1,131,500,1,51.0,nan,nan,nan
210,1.0,-10.89,500,0,144,500,0,nan,nan,nan,nan
211,1.0,18.94,500,1,150,500,3,84.0,nan,nan,nan
212,1.0,-2.17,500,1,173,500,1,73.0,nan,nan,nan
213,1.0,9.28,500,1,142,500,2,185.0,nan,nan,nan
214,1.0,-1.64,500,1,162,500,1,321.0,nan,nan,nan
215,1.0,-11.08,500,0,153,500,0,nan,nan,nan,nan
216,1.0,8.85,500,1,153,500,2,50.0,nan,nan,nan
217,1.0,18.73,500,1,156,500,3,82.66666666666667,nan,nan,nan
218,1.0,19.57,500,1,138,500,3,58.0,nan,nan,nan
219,1.0,9.25,500,1,141,500,2,152.0,nan,nan,nan
220,1.0,0.04,500,1,125,500,1,361.0,nan,nan,nan
221,1.0,19.1,500,1,147,500,3,92.33333333333333,nan,nan,nan
222,1.0,8.67,500,1,158,500,2,90.0,nan,nan,nan
223,1.0,-0.87,500,1,144,500,1,273.0,nan,nan,nan
224,1.0,-0.99,500,1,147,500,1,384.0,nan,nan,nan
225,1.0,-1.66,500,1,160,500,1,243.0,nan,nan,nan
226,1.0,0.21,500,1,123,500,1,339.0,nan,nan,nan
227,1.0,19.34,500,1,140,500,3,120.0,nan,nan,nan
228,1.0,-11.88,500,0,164,500,0,nan,nan,nan,nan
229,1.0,-0.77,500,1,146,500,1,118.0,nan,nan,nan
230,1.0,-0.89,500,1,146,500,1,299.0,nan,nan,nan
231,1.0,-1.55,500,1,160,500,1,100.0,nan,nan,nan
232,1.0,-0.74,500,1,144,500,1,244.0,nan,nan,nan
233,1.0,-1.37,500,1,162,500,1,299.0,nan,nan,nan
234,1.0,-0.78,500,1,143,500,1,283.0,nan,nan,nan
235,1.0,18.52,500,1,160,500,3,92.66666666666667,nan,nan,nan
236,1.0,-0.68,500,1,142,500,1,473.0,nan,nan,nan
237,1.0,19.03,500,1,147,500,3,86.33333333333333,nan,nan,nan
238,1.0,9.34,500,1,141,500,2,68.5,nan,nan,nan
239,1.0,-2.15,500,1,175,500,1,298.0,nan,nan,nan
240,1.0,18.85,500,1,153,500,3,84.0,nan,nan,nan
241,1.0,9.07,500,1,147,500,2,108.5,nan,nan,nan
242,1.0,18.25,500,1,163,500,3,96.0,nan,nan,nan
243,1.0,9.15,500,1,145,500,2,85.0,nan,nan,nan
244,1.0,9.25,500,1,144,500,2,122.5,nan,nan,nan
245,1.0,8.3,500,1,160,500,2,111.0,nan,nan,nan
246,1.0,-0.73,500,1,146,500,1,213.0,nan,nan,nan
247,1.0,-1.23,500,1,154,500,1,438.0,nan,nan,nan
248,1.0,9.08,500,1,147,500,2,105.5,nan,nan,nan
249,1.0,-1.33,500,1,155,500,1,59.0,nan,nan,nan
250,1.0,9.64,500,1,135,500,2,58.5,nan,nan,nan
251,1.0,-11.45,500,0,155,500,0,nan,nan,nan,nan
252,1.0,-11.37,500,0,157,500,0,nan,nan,nan,nan
253,1.0,9.79,500,1,133,500,2,191.5,nan,nan,nan
254,1.0,-0.28,500,1,131,500,1,467.0,nan,nan,nan
255,1.0,9.02,500,1,150,500,2,178.0,nan,nan,nan
256,1.0,-10.56,500,0,135,500,0,nan,nan,nan,nan
257,1.0,8.67,500,1,154,500,2,168.5,nan,nan,nan
258,1.0,-1.75,500,1,162,500,1,111.0,nan,nan,nan
259,1.0,8.96,500,1,151,500,2,132.0,nan,nan,nan
260,1.0,8.49,500,1,159,500,2,148.5,nan,nan,nan
261,1.0,-1.04,500,1,148,500,1,51.0,nan,nan,nan
262,1.0,9.37,500,1,142,500,2,106.0,nan,nan,nan
263,1.0,17.94,500,1,171,500,3,118.66666666666667,nan,nan,nan
264,1.0,8.52,500,1,158,500,2,91.0,nan,nan,nan
265,1.0,8.67,500,1,155,500,2,78.0,nan,nan,nan
266,1.0,9.67,500,1,135,500,2,76.5,nan,nan,nan
267,1.0,8.85,500,1,150,500,2,135.0,nan,nan,nan
268,1.0,8.89,500,1,151,500,2,90.0,nan,nan,nan
269,1.0,-11.31,500,0,151,500,0,nan,nan,nan,nan
270,1.0,9.0,500,1,151,500,2,130.5,nan,nan,nan
271,1.0,-0.62,500,1,143,500,1,257.0,nan,nan,nan
272,1.0,-1.16,500,1,151,500,1,71.0,nan,nan,nan
273,1.0,-0.78,500,1,142,500,1,68.0,nan,nan,nan
274,1.0,8.94,500,1,151,500,2,69.5,nan,nan,nan
275,1.0,-1.47,500,1,160,500,1,284.0,nan,nan,nan
276,1.0,-1.98,500,1,169,500,1,59.0,nan,nan,nan
277,1.0,8.72,500,1,149,500,2,133.5,nan,nan,nan
278,1.0,-0.96,500,1,146,500,1,399.0,nan,nan,nan
279,1.0,-1.17,500,1,150,500,1,371.0,nan,nan,nan
280,1.0,8.87,500,1,150,500,2,36.5,nan,nan,nan
281,1.0,-10.41,500,0,136,500,0,nan,nan,nan,nan
282,1.0,9.33,500,1,141,500,2,115.0,nan,nan,nan
283,1.0,-0.09,500,1,131,500,1,253.0,nan,nan,nan
284,1.0,-0.75,500,1,143,500,1,103.0,nan,nan,nan
285,1.0,-1.78,500,1,164,500,1,148.0,nan,nan,nan
286,1.0,9.94,500,1,129,500,2,208.5,nan,nan,nan
287,1.0,8.53,500,1,156,500,2,68.5,nan,nan,nan
288,1.0,-0.75,500,1,141,500,1,196.0,nan,nan,nan
289,1.0,-11.4,500,0,157,500,0,nan,nan,nan,nan
290,1.0,8.9,500,1,148,500,2,168.0,nan,nan,nan
291,1.0,8.65,500,1,155,500,2,120.5,nan,nan,nan
292,1.0,8.66,500,1,155,500,2,157.5,nan,nan,nan
293,1.0,-1.04,500,1,149,500,1,115.0,nan,nan,nan
294,1.0,-1.36,500,1,160,500,1,196.0,nan,nan,nan
295,1.0,9.12,500,1,147,500,2,135.0,nan,nan,nan
296,1.0,-0.27,500,1,133,500,1,91.0,nan,nan,nan
297,1.0,-0.7,500,1,142,500,1,306.0,nan,nan,nan
298,1.0,-1.01,500,1,147,500,1,135.0,nan,nan,nan
299,1.0,-0.88,500,1,144,500,1,153.0,nan,nan,nan
300,1.0,-10.53,500,0,141,500,0,nan,nan,nan,nan
301,1.0,8.54,500,1,162,500,2,166.0,nan,nan,nan
302,1.0,8.95,500,1,150,500,2,106.5,nan,nan,nan
303,1.0,-0.83,500,1,144,500,1,379.0,nan,nan,nan
304,1.0,8.69,500,1,154,500,2,185.0,nan,nan,nan
305,1.0,9.0,500,1,147,500,2,151.0,nan,nan,nan
306,1.0,18.59,500,1,160,500,3,32.333333333333336,nan,nan,nan
307,1.0,19.35,500,1,141,500,3,111.66666666666667,nan,nan,nan
308,1.0,9.08,500,1,146,500,2,158.0,nan,nan,nan
309,1.0,-1.92,500,1,168,500,1,70.0,nan,nan,nan
310,1.0,9.46,500,1,137,500,2,126.5,nan,nan,nan
311,1.0,9.54,500,1,137,500,2,157.0,nan,nan,nan
312,1.0,-0.39,500,1,136,500,1,147.0,nan,nan,nan
313,1.0,8.57,500,1,159,500,2,133.0,nan,nan,nan
314,1.0,9.94,500,1,130,500,2,119.0,nan,nan,nan
315,1.0,-0.97,500,1,147,500,1,176.0,nan,nan,nan
316,1.0,-1.57,500,1,161,500,1,302.0,nan,nan,nan
317,1.0,8.71,500,1,157,500,2,147.0,nan,nan,nan
318,1.0,9.27,500,1,144,500,2,108.0,nan,nan,nan
319,1.0,7.33,500,1,183,500,2,186.0,nan,nan,nan
320,1.0,8.99,500,1,148,500,2,108.5,nan,nan,nan
321,1.0,-0.16,500,1,134,500,1,81.0,nan,nan,nan
322,1.0,-0.31,500,1,131,500,1,119.0,nan,nan,nan
323,1.0,8.75,500,1,157,500,2,69.0,nan,nan,nan
324,1.0,-11.28,500,0,155,500,0,nan,nan,nan,nan
325,1.0,9.7,500,1,133,500,2,150.0,nan,nan,nan
326,1.0,8.82,500,1,154,500,2,181.0,nan,nan,nan
327,1.0,-0.88,500,1,147,500,1,399.0,nan,nan,nan
328,1.0,9.44,500,1,140,500,2,182.5,nan,nan,nan
329,1.0,9.15,500,1,146,500,2,147.0,nan,nan,nan
330,1.0,-9.79,500,0,124,500,0,nan,nan,nan,nan
331,1.0,8.96,500,1,151,500,2,137.5,nan,nan,nan
332,1.0,-10.49,500,0,140,500,0,nan,nan,nan,nan
333,1.0,7.97,500,1,171,500,2,40.0,nan,nan,nan
334,1.0,-0.95,500,1,147,500,1,149.0,nan,nan,nan
335,1.0,7.99,500,1,169,500,2,115.0,nan,nan,nan
336,1.0,8.93,500,1,149,500,2,167.5,nan,nan,nan
337,1.0,-0.63,500,1,139,500,1,81.0,nan,nan,nan
338,1.0,8.33,500,1,162,500,2,214.5,nan,nan,nan
339,1.0,9.04,500,1,152,500,2,143.5,nan,nan,nan
340,1.0,9.03,500,1,149,500,2,118.5,nan,nan,nan
341,1.0,8.53,500,1,160,500,2,138.0,nan,nan,nan
342,1.0,-0.12,500,1,132,500,1,196.0,nan,nan,nan
343,1.0,29.23,500,1,145,500,4,56.75,nan,nan,nan
344,1.0,8.58,500,1,156,500,2,66.5,nan,nan,nan
345,1.0,10.01,500,1,129,500,2,48.5,nan,nan,nan
346,1.0,-0.85,500,1,144,500,1,353.0,nan,nan,nan
347,1.0,9.23,500,1,145,500,2,127.0,nan,nan,nan
348,1.0,-0.69,500,1,143,500,1,25.0,nan,nan,nan
349,1.0,9.82,500,1,132,500,2,143.5,nan,nan,nan
350,1.0,-1.54,500,1,160,500,1,386.0,nan,nan,nan
351,1.0,8.56,500,1,157,500,2,93.5,nan,nan,nan
352,1.0,8.33,500,1,162,500,2,85.0,nan,nan,nan
353,1.0,-1.03,500,1,151,500,1,223.0,nan,nan,nan
354,1.0,-0.99,500,1,150,500,1,272.0,nan,nan,nan
355,1.0,8.42,500,1,162,500,2,169.5,nan,nan,nan
356,1.0,19.34,500,1,140,500,3,61.0,nan,nan,nan
357,1.0,-1.42,500,1,158,500,1,415.0,nan,nan,nan
358,1.0,-1.38,500,1,159,500,1,347.0,nan,nan,nan
359,1.0,8.82,500,1,152,500,2,104.5,nan,nan,nan
360,1.0,-1.22,500,1,156,500,1,217.0,nan,nan,nan
361,1.0,-1.25,500,1,152,500,1,422.0,nan,nan,nan
362,1.0,-0.93,500,1,147,500,1,90.0,nan,nan,nan
363,1.0,-0.59,500,1,142,500,1,431.0,nan,nan,nan
364,1.0,-1.09,500,1,150,500,1,172.0,nan,nan,nan
365,1.0,-10.96,500,0,148,500,0,nan,nan,nan,nan
366,1.0,-1.16,500,1,152,500,1,407.0,nan,nan,nan
367,1.0,9.14,500,1,147,500,2,117.5,nan,nan,nan
368,1.0,9.24,500,1,146,500,2,111.5,nan,nan,nan
369,1.0,-1.15,500,1,154,500,1,235.0,nan,nan,nan
370,1.0,-0.75,500,1,140,500,1,325.0,nan,nan,nan
371,1.0,9.13,500,1,143,500,2,85.0,nan,nan,nan
372,1.0,8.52,500,1,160,500,2,112.0,nan,nan,nan
