Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,73.61,3.937,3.937,-0.387,0.1202,0.9058,-0.005,move
2,75.389,1.78,1.78,-0.689,0.0496,0.9095,-0.005,move
3,60.483,-14.907,-14.907,0.089,-0.0941,0.9065,-0.015,nose_poke
4,76.485,16.003,16.003,-0.002,0.4088,0.8924,-0.005,move
5,63.519,-12.967,-12.967,0.26,-0.117,0.9034,-0.015,nose_poke
6,63.565,0.047,0.047,0.906,0.0021,0.8939,-0.055,lick
7,45.469,-18.096,-18.096,0.943,-0.1108,0.9077,-0.055,lick
8,62.715,17.246,17.246,0.487,0.4088,0.8775,-0.015,nose_poke
9,64.964,2.249,2.249,-0.528,0.0863,0.9052,-0.005,move
10,79.64,14.676,14.676,0.055,0.4102,0.91,-0.015,nose_poke
11,94.185,14.545,14.545,0.412,0.4201,0.9044,-0.015,nose_poke
12,111.814,17.628,17.628,-0.868,0.5585,0.9014,-0.005,move
13,114.758,2.944,2.944,0.394,0.109,0.8963,-0.015,nose_poke
14,101.944,-12.814,-12.814,0.44,-0.0854,0.8975,-0.015,nose_poke
15,99.319,-2.625,-2.625,0.083,-0.0734,0.885,-0.015,nose_poke
16,90.45,-8.869,-8.869,0.046,-0.0571,0.8976,-0.015,nose_poke
17,92.275,1.825,1.825,0.496,0.048,0.8912,-0.015,nose_poke
18,100.223,7.948,7.948,0.293,0.2161,0.9035,-0.015,nose_poke
19,86.607,-13.615,-13.615,-0.719,-0.0986,0.9034,-0.005,move
20,67.76,-18.847,-18.847,-0.991,-0.0718,0.8873,-0.005,move
21,74.362,6.602,6.602,-0.639,0.1659,0.885,-0.005,move
22,54.895,-19.468,-19.468,-0.365,-0.1184,0.9118,-0.005,move
23,40.745,-14.149,-14.149,-0.651,-0.0272,0.8742,-0.005,move
24,25.637,-15.108,-15.108,-0.897,-0.0364,0.8863,-0.005,move
25,39.974,14.336,14.336,-0.535,0.3667,0.8859,-0.005,move
26,50.835,10.861,10.861,-0.801,0.3438,0.9098,-0.005,move
27,69.111,18.276,18.276,0.017,0.5171,0.9107,-0.015,nose_poke
28,76.69,7.579,7.579,-0.155,0.2516,0.9028,-0.005,move
29,77.435,0.745,0.745,0.988,0.0349,0.9113,-0.055,lick
30,69.403,-8.032,-8.032,-0.398,-0.0598,0.9049,-0.005,move
31,76.613,7.21,7.21,-0.651,0.2065,0.8966,-0.005,move
32,79.119,2.505,2.505,0.022,0.0692,0.9113,-0.015,nose_poke
33,83.485,4.366,4.366,0.268,0.1135,0.9064,-0.015,nose_poke
34,102.948,19.463,19.463,0.304,0.5429,0.9073,-0.015,nose_poke
35,120.0,17.71,17.71,-0.178,0.5411,0.8971,-0.005,move
36,113.053,-6.947,-6.947,-0.814,-0.1036,0.8928,-0.005,move
37,120.0,18.15,18.15,0.078,0.4895,0.8881,-0.015,nose_poke
38,108.358,-11.642,-11.642,0.431,-0.1201,0.8929,-0.015,nose_poke
39,95.295,-13.063,-13.063,0.471,-0.0625,0.8851,-0.015,nose_poke
40,88.873,-6.422,-6.422,-0.995,-0.0567,0.8859,-0.005,move
41,84.267,-4.606,-4.606,0.08,-0.0519,0.8949,-0.015,nose_poke
42,102.703,18.436,18.436,0.93,0.4746,0.8981,-0.055,lick
43,102.787,0.085,0.085,-0.256,-0.0229,0.8976,-0.005,move
44,110.062,7.275,7.275,0.337,0.194,0.8992,-0.015,nose_poke
45,120.0,17.432,17.432,-0.904,0.5404,0.9004,-0.005,move
46,120.0,11.05,11.05,-0.722,0.4031,0.8928,-0.005,move
47,100.843,-19.157,-19.157,-0.898,-0.1263,0.8903,-0.005,move
48,111.009,10.166,10.166,0.661,0.2248,0.8798,-0.055,lick
49,116.202,5.193,5.193,-0.931,0.2023,0.8989,-0.005,move
50,120.0,14.877,14.877,-0.634,0.454,0.8982,-0.005,move
51,117.29,-2.71,-2.71,-0.377,-0.0893,0.8932,-0.005,move
52,111.362,-5.928,-5.928,0.424,-0.0598,0.8808,-0.015,nose_poke
53,92.413,-18.949,-18.949,-0.214,-0.0923,0.8897,-0.005,move
54,81.592,-10.821,-10.821,0.566,-0.0448,0.8811,-0.055,lick
55,72.706,-8.886,-8.886,-0.851,-0.034,0.8909,-0.005,move
56,81.926,9.22,9.22,0.685,0.2153,0.895,-0.055,lick
57,86.993,5.067,5.067,0.318,0.1462,0.9096,-0.015,nose_poke
58,87.247,0.253,0.253,0.497,0.007,0.9069,-0.015,nose_poke
59,81.598,-5.649,-5.649,-0.019,-0.0525,0.9031,-0.005,move
60,74.853,-6.745,-6.745,-0.553,-0.0483,0.8971,-0.005,move
61,62.435,-12.418,-12.418,-0.856,-0.0535,0.897,-0.005,move
62,67.101,4.666,4.666,-0.529,0.1239,0.8948,-0.005,move
63,72.87,5.769,5.769,0.612,0.1461,0.9122,-0.055,lick
64,54.071,-18.799,-18.799,0.433,-0.1208,0.9116,-0.015,nose_poke
65,63.099,9.028,9.028,0.607,0.1748,0.8757,-0.055,lick
66,70.977,7.877,7.877,-0.697,0.2631,0.9143,-0.005,move
67,54.921,-16.055,-16.055,-0.482,-0.109,0.9127,-0.005,move
68,48.443,-6.479,-6.479,-0.88,-0.0178,0.8818,-0.005,move
69,43.102,-5.34,-5.34,0.325,-0.0341,0.8984,-0.015,nose_poke
70,50.825,7.723,7.723,-0.973,0.2238,0.9004,-0.005,move
71,46.399,-4.426,-4.426,0.163,-0.051,0.9139,-0.015,nose_poke
72,50.899,4.501,4.501,0.328,0.0854,0.9014,-0.015,nose_poke
73,45.862,-5.037,-5.037,0.73,-0.0386,0.9144,-0.055,lick
74,31.51,-14.352,-14.352,0.875,-0.0616,0.9005,-0.055,lick
75,25.006,-6.504,-6.504,0.478,-0.028,0.8868,-0.015,nose_poke
76,6.317,-18.689,-18.689,-0.285,-0.0699,0.9015,-0.005,move
77,22.754,16.437,16.437,-0.403,0.4118,0.8794,-0.005,move
78,22.796,0.042,0.042,0.396,-0.016,0.9119,-0.015,nose_poke
79,17.73,-5.066,-5.066,-0.725,-0.0453,0.9106,-0.005,move
