episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
2,1.0,-19.7,500,0,344,0,nan,nan,nan,nan
3,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
4,1.0,-7.7,500,1,304,1,227.0,nan,nan,nan
5,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
6,1.0,-7.55,500,1,301,1,217.0,nan,nan,nan
7,1.0,-7.55,500,1,301,1,281.0,nan,nan,nan
8,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
9,1.0,-19.05,500,0,331,0,nan,nan,nan,nan
10,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
11,1.0,-18.0,500,0,310,0,nan,nan,nan,nan
12,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
13,1.0,-19.25,500,0,335,0,nan,nan,nan,nan
14,1.0,-18.8,500,0,326,0,nan,nan,nan,nan
15,1.0,-17.95,500,0,309,0,nan,nan,nan,nan
16,1.0,-8.35,500,1,317,1,221.0,nan,nan,nan
17,1.0,-19.2,500,0,334,0,nan,nan,nan,nan
18,1.0,-9.6,500,1,342,1,392.0,nan,nan,nan
19,1.0,-7.55,500,1,301,1,245.0,nan,nan,nan
20,1.0,-19.05,500,0,331,0,nan,nan,nan,nan
21,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
22,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
23,1.0,-17.55,500,0,301,0,nan,nan,nan,nan
24,1.0,-8.35,500,1,317,1,379.0,nan,nan,nan
25,1.0,-19.35,500,0,337,0,nan,nan,nan,nan
26,1.0,-18.7,500,0,324,0,nan,nan,nan,nan
27,1.0,-18.55,500,0,321,0,nan,nan,nan,nan
28,1.0,-17.9,500,0,308,0,nan,nan,nan,nan
29,1.0,-8.15,500,1,313,1,437.0,nan,nan,nan
30,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
31,1.0,-18.55,500,0,321,0,nan,nan,nan,nan
32,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
33,1.0,-16.9,500,0,288,0,nan,nan,nan,nan
34,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
35,1.0,-7.7,500,1,304,1,161.0,nan,nan,nan
36,1.0,-7.9,500,1,308,1,113.0,nan,nan,nan
37,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
38,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
39,1.0,-19.05,500,0,331,0,nan,nan,nan,nan
40,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
41,1.0,-18.85,500,0,327,0,nan,nan,nan,nan
42,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
43,1.0,-17.9,500,0,308,0,nan,nan,nan,nan
44,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
45,1.0,-19.05,500,0,331,0,nan,nan,nan,nan
46,1.0,-19.0,500,0,330,0,nan,nan,nan,nan
47,1.0,-6.75,500,1,285,1,300.0,nan,nan,nan
48,1.0,-17.55,500,0,301,0,nan,nan,nan,nan
49,1.0,-18.5,500,0,320,0,nan,nan,nan,nan
50,1.0,-19.05,500,0,331,0,nan,nan,nan,nan
51,1.0,-19.2,500,0,334,0,nan,nan,nan,nan
52,1.0,-18.65,500,0,323,0,nan,nan,nan,nan
53,1.0,-19.4,500,0,338,0,nan,nan,nan,nan
54,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
55,1.0,-19.3,500,0,336,0,nan,nan,nan,nan
56,1.0,-17.4,500,0,298,0,nan,nan,nan,nan
57,1.0,-17.5,500,0,300,0,nan,nan,nan,nan
58,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
59,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
60,1.0,-18.95,500,0,329,0,nan,nan,nan,nan
61,1.0,-17.85,500,0,307,0,nan,nan,nan,nan
62,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
63,1.0,-8.5,500,1,320,1,266.0,nan,nan,nan
64,1.0,-18.95,500,0,329,0,nan,nan,nan,nan
65,1.0,-19.4,500,0,338,0,nan,nan,nan,nan
66,1.0,-18.8,500,0,326,0,nan,nan,nan,nan
67,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
68,1.0,-18.55,500,0,321,0,nan,nan,nan,nan
69,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
70,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
71,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
72,1.0,-17.7,500,0,304,0,nan,nan,nan,nan
73,1.0,-8.6,500,1,322,1,219.0,nan,nan,nan
74,1.0,-17.5,500,0,300,0,nan,nan,nan,nan
75,1.0,-17.85,500,0,307,0,nan,nan,nan,nan
76,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
77,1.0,-19.2,500,0,334,0,nan,nan,nan,nan
78,1.0,-17.95,500,0,309,0,nan,nan,nan,nan
79,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
80,1.0,-19.25,500,0,335,0,nan,nan,nan,nan
81,1.0,-8.05,500,1,311,1,130.0,nan,nan,nan
82,1.0,-8.6,500,1,322,1,408.0,nan,nan,nan
83,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
84,1.0,-8.8,500,1,326,1,264.0,nan,nan,nan
85,1.0,-19.2,500,0,334,0,nan,nan,nan,nan
86,1.0,-19.6,500,0,342,0,nan,nan,nan,nan
87,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
88,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
89,1.0,-7.55,500,1,301,1,334.0,nan,nan,nan
90,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
91,1.0,-18.85,500,0,327,0,nan,nan,nan,nan
92,1.0,-8.65,500,1,323,1,180.0,nan,nan,nan
93,1.0,-18.8,500,0,326,0,nan,nan,nan,nan
94,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
95,1.0,-17.75,500,0,305,0,nan,nan,nan,nan
96,1.0,-18.55,500,0,321,0,nan,nan,nan,nan
97,1.0,-18.15,500,0,313,0,nan,nan,nan,nan
98,1.0,-18.15,500,0,313,0,nan,nan,nan,nan
99,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
100,1.0,-17.95,500,0,309,0,nan,nan,nan,nan
101,1.0,-18.7,500,0,324,0,nan,nan,nan,nan
102,1.0,-18.5,500,0,320,0,nan,nan,nan,nan
103,1.0,-19.0,500,0,330,0,nan,nan,nan,nan
104,1.0,-18.65,500,0,323,0,nan,nan,nan,nan
105,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
106,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
107,1.0,-18.9,500,0,328,0,nan,nan,nan,nan
108,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
109,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
110,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
111,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
112,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
113,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
114,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
115,1.0,-17.55,500,0,301,0,nan,nan,nan,nan
116,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
117,1.0,-8.55,500,1,321,1,378.0,nan,nan,nan
118,1.0,-19.55,500,0,341,0,nan,nan,nan,nan
