Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,61.675,0.336,0.336,-0.408,-0.0808,0.0,-0.005
2,59.973,-1.702,-1.702,-0.039,-0.1256,0.0,-0.005
3,71.49,11.518,11.518,0.061,-0.617,0.0,-0.055
4,75.962,4.471,4.471,0.054,-0.2468,0.0,-0.055
5,77.739,1.778,1.778,0.029,-0.1147,0.0,-0.055
6,78.675,0.935,0.935,-0.388,-0.0939,0.0,-0.005
7,85.026,6.351,6.351,-0.445,-0.3455,0.0,-0.005
8,77.173,-7.853,-7.853,-0.024,-0.2958,0.0,-0.005
9,73.583,-3.59,-3.59,-0.135,-0.1804,0.0,-0.005
10,73.915,0.332,0.332,-0.373,-0.0888,0.0,-0.005
11,74.296,0.381,0.381,-0.035,-0.0808,0.0,-0.005
12,76.296,1.999,1.999,-0.558,-0.1344,0.0,-0.005
13,78.222,1.926,1.926,-0.028,-0.1265,0.0,-0.005
14,92.844,14.622,14.622,0.072,-0.7863,0.0,-0.055
15,98.326,5.482,5.482,0.012,-0.3023,0.0,-0.055
16,88.217,-10.108,-10.108,0.049,-0.3701,0.0,-0.055
17,88.296,0.079,0.079,0.591,-0.0819,0.0,-0.055
18,88.818,0.522,0.522,0.173,-0.0845,0.0,-0.055
19,95.847,7.028,7.028,0.059,-0.3852,0.0,-0.055
20,92.082,-3.764,-3.764,-0.031,-0.1608,0.0,-0.005
21,95.223,3.141,3.141,-0.217,-0.1921,0.0,-0.005
22,104.67,9.447,9.447,-0.37,-0.5163,0.0,-0.005
23,103.804,-0.866,-0.866,0.304,-0.0855,0.0,-0.055
24,109.211,5.407,5.407,0.523,-0.3077,0.0,-0.055
25,102.069,-7.143,-7.143,0.208,-0.2601,0.0,-0.055
26,102.532,0.463,0.463,0.374,-0.0943,0.0,-0.055
27,98.699,-3.833,-3.833,0.203,-0.1714,0.0,-0.055
28,84.441,-14.258,-14.258,-0.175,-0.5327,0.0,-0.005
29,87.951,3.51,3.51,-0.445,-0.2188,0.0,-0.005
30,81.048,-6.903,-6.903,0.225,-0.2649,0.0,-0.055
31,82.564,1.517,1.517,-0.548,-0.1319,0.0,-0.005
32,67.621,-14.944,-14.944,-0.005,-0.556,0.0,-0.005
