Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,79.769,0.58,0.58,-0.249,-0.027,0.0,-0.005,move
2,82.968,3.199,3.199,0.228,-0.1428,0.0,-0.034999999999999996,nose_poke
3,81.189,-1.779,-1.779,-0.145,0.0349,0.0,-0.005,move
4,87.23,6.041,6.041,-0.367,-0.1969,0.0,-0.005,move
5,85.392,-1.838,-1.838,-0.236,0.0318,0.0,-0.005,move
6,92.303,6.91,6.91,0.115,-0.2381,0.0,-0.034999999999999996,nose_poke
7,84.563,-7.74,-7.74,-0.343,0.095,0.0,-0.005,move
8,82.998,-1.565,-1.565,0.353,0.0139,0.0,-0.034999999999999996,nose_poke
9,83.908,0.91,0.91,0.264,-0.067,0.0,-0.034999999999999996,nose_poke
10,90.256,6.348,6.348,-0.028,-0.2151,0.0,-0.005,move
11,107.881,17.625,17.625,0.188,-0.4415,0.0,-0.034999999999999996,nose_poke
12,106.006,-1.875,-1.875,0.335,-0.074,0.0,-0.034999999999999996,nose_poke
13,107.855,1.849,1.849,0.151,-0.1019,0.0,-0.034999999999999996,nose_poke
14,95.36,-12.495,-12.495,-0.227,0.1494,0.0,-0.005,move
15,98.876,3.516,3.516,-0.066,-0.1581,0.0,-0.005,move
16,104.438,5.562,5.562,-0.017,-0.1946,0.0,-0.005,move
17,104.79,0.352,0.352,0.015,-0.055,0.0,-0.034999999999999996,nose_poke
18,103.631,-1.159,-1.159,-0.26,0.0262,0.0,-0.005,move
19,106.059,2.428,2.428,-0.778,-0.0839,0.0,-0.005,move
20,104.436,-1.623,-1.623,0.376,-0.0203,0.0,-0.034999999999999996,nose_poke
21,95.784,-8.652,-8.652,-0.324,0.1306,0.0,-0.005,move
22,93.618,-2.165,-2.165,0.372,0.0175,0.0,-0.034999999999999996,nose_poke
23,86.778,-6.84,-6.84,-0.355,0.125,0.0,-0.005,move
24,80.06,-6.718,-6.718,-0.128,0.1206,0.0,-0.005,move
25,73.11,-6.95,-6.95,-0.557,0.1735,0.0,-0.005,move
26,71.743,-1.367,-1.367,-0.033,0.0445,0.0,-0.005,move
27,68.713,-3.03,-3.03,-0.006,0.0568,0.0,-0.005,move
28,67.493,-1.22,-1.22,-0.268,0.0513,0.0,-0.005,move
29,64.888,-2.605,-2.605,-0.082,0.0628,0.0,-0.005,move
30,66.13,1.243,1.243,-0.487,-0.0345,0.0,-0.005,move
31,59.155,-6.975,-6.975,-0.059,0.0942,0.0,-0.005,move
32,64.89,5.735,5.735,0.171,-0.1609,0.0,-0.034999999999999996,nose_poke
33,70.969,6.079,6.079,0.237,-0.2103,0.0,-0.034999999999999996,nose_poke
34,65.397,-5.572,-5.572,-0.113,0.0623,0.0,-0.005,move
35,58.515,-6.883,-6.883,0.491,0.0485,0.0,-0.034999999999999996,nose_poke
36,57.317,-1.198,-1.198,-0.301,0.0486,0.0,-0.005,move
37,62.13,4.813,4.813,-0.439,-0.1114,0.0,-0.005,move
38,59.255,-2.875,-2.875,-0.18,0.0503,0.0,-0.005,move
39,70.63,11.376,11.376,-0.065,-0.2443,0.0,-0.005,move
40,74.978,4.348,4.348,-0.031,-0.1468,0.0,-0.005,move
41,67.008,-7.97,-7.97,0.29,0.0422,0.0,-0.034999999999999996,nose_poke
42,75.179,8.171,8.171,0.294,-0.2831,0.0,-0.034999999999999996,nose_poke
43,70.501,-4.677,-4.677,-0.218,0.0538,0.0,-0.005,move
44,85.739,15.238,15.238,-0.312,-0.4,0.0,-0.005,move
45,93.254,7.515,7.515,-0.182,-0.2076,0.0,-0.005,move
46,83.593,-9.661,-9.661,-0.065,0.0826,0.0,-0.005,move
47,90.924,7.33,7.33,-0.303,-0.2408,0.0,-0.005,move
48,87.493,-3.43,-3.43,0.091,0.0037,0.0,-0.034999999999999996,nose_poke
49,101.807,14.314,14.314,0.038,-0.3959,0.0,-0.034999999999999996,nose_poke
50,104.759,2.952,2.952,0.168,-0.1334,0.0,-0.034999999999999996,nose_poke
51,101.09,-3.669,-3.669,0.291,-0.006,0.0,-0.034999999999999996,nose_poke
52,104.849,3.759,3.759,0.032,-0.1569,0.0,-0.034999999999999996,nose_poke
53,100.27,-4.578,-4.578,-0.325,0.0692,0.0,-0.005,move
54,105.642,5.372,5.372,-0.105,-0.2,0.0,-0.005,move
55,97.677,-7.966,-7.966,-0.221,0.0819,0.0,-0.005,move
56,96.873,-0.804,-0.804,-0.313,0.0334,0.0,-0.005,move
57,87.623,-9.25,-9.25,0.233,0.0684,0.0,-0.034999999999999996,nose_poke
58,84.162,-3.461,-3.461,0.241,0.0505,0.0,-0.034999999999999996,nose_poke
59,81.095,-3.067,-3.067,-0.083,0.0675,0.0,-0.005,move
60,91.276,10.181,10.181,-0.001,-0.3054,0.0,-0.005,move
61,92.93,1.654,1.654,0.203,-0.099,0.0,-0.034999999999999996,nose_poke
62,87.835,-5.094,-5.094,0.361,0.0047,0.0,-0.034999999999999996,nose_poke
63,87.932,0.096,0.096,-0.186,-0.0041,0.0,-0.005,move
64,90.835,2.904,2.904,0.237,-0.1347,0.0,-0.034999999999999996,nose_poke
65,98.558,7.723,7.723,0.444,-0.2676,0.0,-0.034999999999999996,nose_poke
66,99.847,1.289,1.289,-0.168,-0.0693,0.0,-0.005,move
67,101.12,1.274,1.274,-0.16,-0.066,0.0,-0.005,move
68,87.871,-13.249,-13.249,0.16,0.117,0.0,-0.034999999999999996,nose_poke
69,91.23,3.359,3.359,0.56,-0.1774,0.0,-0.055,lick
70,90.193,-1.037,-1.037,0.075,-0.0033,0.0,-0.034999999999999996,nose_poke
71,93.057,2.864,2.864,-0.059,-0.1242,0.0,-0.005,move
72,86.711,-6.346,-6.346,-0.57,0.1238,0.0,-0.005,move
73,84.293,-2.418,-2.418,-0.13,0.0702,0.0,-0.005,move
74,92.977,8.684,8.684,0.036,-0.2723,0.0,-0.034999999999999996,nose_poke
75,91.482,-1.495,-1.495,-0.198,0.0131,0.0,-0.005,move
76,100.444,8.962,8.962,0.637,-0.3119,0.0,-0.055,lick
77,96.591,-3.853,-3.853,0.026,0.0022,0.0,-0.034999999999999996,nose_poke
78,95.681,-0.91,-0.91,0.031,0.0094,0.0,-0.034999999999999996,nose_poke
