episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
1,1.0,96.29,500,0,0,0,242,nan,40.876541,nan
2,1.0,96.215,500,0,0,0,257,nan,53.110226,nan
3,1.0,-3.81,500,0,1,0,262,nan,-1.727795,nan
4,1.0,-3.725,500,0,0,0,245,nan,-1.70515,nan
5,1.0,96.255,500,0,1,0,249,nan,48.278812,nan
6,1.0,196.175,500,0,0,0,265,nan,91.845917,nan
7,1.0,196.175,500,0,0,0,265,nan,87.193344,nan
8,1.0,-3.845,500,0,0,0,269,nan,-1.720171,nan
9,1.0,96.28,500,0,0,0,244,nan,53.639099,nan
10,1.0,196.145,500,0,1,0,271,nan,87.197121,nan
11,1.0,96.275,500,0,0,0,245,nan,30.227179,nan
12,1.0,196.155,500,0,0,0,269,nan,95.262138,nan
13,1.0,196.215,500,0,0,0,257,nan,106.436249,nan
14,1.0,96.325,500,0,0,0,235,nan,50.847427,nan
15,1.0,196.135,500,0,0,0,273,nan,104.464088,nan
16,1.0,196.175,500,0,0,0,265,nan,103.748383,nan
17,1.0,196.235,500,0,0,0,253,nan,103.700768,nan
18,1.0,196.185,500,0,1,0,263,nan,94.358932,nan
19,1.0,196.215,500,0,0,0,257,nan,96.640076,nan
20,1.0,196.07,500,0,0,0,286,nan,94.192749,nan
21,1.0,296.18,500,0,1,0,264,nan,136.659225,nan
22,1.0,196.25,500,0,0,0,250,nan,102.080223,nan
23,1.0,296.215,500,0,1,0,257,nan,141.386597,nan
24,1.0,196.145,500,0,0,0,271,nan,103.75119,nan
25,1.0,296.115,500,0,1,0,277,nan,148.352844,nan
26,1.0,296.16,500,0,0,0,268,nan,157.541962,nan
27,1.0,296.15,500,0,0,0,270,nan,135.551773,nan
28,1.0,196.15,500,0,1,0,270,nan,100.63176,nan
29,1.0,396.19,500,0,1,0,262,nan,186.717606,nan
30,1.0,196.215,500,0,1,0,257,nan,98.409142,nan
31,1.0,296.175,500,0,0,0,265,nan,140.483932,nan
32,1.0,396.2,500,0,0,0,260,nan,212.036438,nan
33,1.0,296.185,500,0,0,0,263,nan,151.724564,nan
34,1.0,396.105,500,0,0,0,279,nan,188.172638,nan
35,1.0,296.15,500,0,0,0,270,nan,148.643356,nan
36,1.0,596.155,500,0,0,0,269,nan,271.956207,nan
37,1.0,396.125,500,0,1,0,275,nan,171.65181,nan
38,1.0,496.145,500,0,0,0,271,nan,250.273682,nan
39,1.0,396.19,500,0,0,0,262,nan,194.521286,nan
40,1.0,396.12,500,0,1,0,276,nan,192.192413,nan
41,1.0,496.125,500,0,0,0,275,nan,230.467987,nan
42,1.0,596.165,500,0,0,0,267,nan,294.511688,nan
43,1.0,396.21,500,0,0,0,258,nan,188.867401,nan
44,1.0,496.13,500,0,0,0,274,nan,243.073975,nan
45,1.0,496.23,500,0,0,0,254,nan,227.525482,nan
46,1.0,496.165,500,0,0,0,267,nan,244.695206,nan
47,1.0,496.145,500,0,0,0,271,nan,246.03923,nan
48,1.0,496.155,500,0,0,0,269,nan,227.904892,nan
49,1.0,596.16,500,0,0,0,268,nan,290.590912,nan
50,1.0,496.175,500,0,1,0,265,nan,230.337814,nan
51,1.0,596.15,500,0,0,0,270,nan,273.661774,nan
52,1.0,596.195,500,0,1,0,261,nan,270.173279,nan
53,1.0,496.33,500,0,1,0,234,nan,238.554626,nan
54,1.0,596.135,500,0,0,0,273,nan,298.652161,nan
55,1.0,596.195,500,0,1,0,261,nan,280.123932,nan
56,1.0,596.385,500,0,1,0,223,nan,293.464447,nan
57,1.0,596.295,500,0,1,0,241,nan,293.958618,nan
58,1.0,596.27,500,0,0,0,246,nan,262.156647,nan
