episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-14.95,500,0,249,0,nan,6.922681,-7.287392,nan
2,1.0,-13.55,500,0,221,0,nan,5.646437,-6.449042,nan
3,1.0,-13.4,500,1,238,1,168.0,4.833121,-6.027894,nan
4,1.0,-12.4,500,1,218,1,224.0,3.992475,-5.364918,nan
5,1.0,-12.3,500,1,216,1,119.0,3.632745,-5.005128,nan
6,1.0,-12.35,500,0,197,0,nan,3.632313,-5.108569,nan
7,1.0,-10.9,500,1,208,2,45.5,2.855082,-4.424817,nan
8,1.0,-10.0,500,1,170,1,162.0,2.120531,-3.666493,nan
9,1.0,-10.9,500,1,188,1,376.0,2.657714,-3.971989,nan
10,1.0,-12.1,500,0,192,0,nan,3.005726,-4.427716,nan
11,1.0,-11.55,500,0,181,0,nan,2.662914,-4.410575,nan
12,1.0,-9.4,500,1,158,1,247.0,1.449681,-2.811591,nan
13,1.0,-10.5,500,1,180,1,108.0,1.809312,-3.235295,nan
14,1.0,-9.9,500,0,148,0,nan,1.290865,-2.910389,nan
15,1.0,-8.85,500,1,147,1,184.0,0.909101,-2.187054,nan
16,1.0,-10.25,500,1,175,1,99.0,1.336004,-2.839554,nan
17,1.0,-9.0,500,1,150,1,103.0,0.961045,-2.165699,nan
18,1.0,-8.9,500,1,148,1,141.0,0.741303,-1.73136,nan
19,1.0,-9.3,500,1,156,1,188.0,0.635126,-1.743199,nan
20,1.0,-9.2,500,1,154,1,293.0,0.620826,-1.6515,nan
21,1.0,-9.95,500,0,149,0,nan,0.741771,-1.905638,nan
22,1.0,-8.3,500,0,116,0,nan,0.343115,-1.003442,nan
23,1.0,-8.9,500,0,128,0,nan,0.318325,-1.096452,nan
24,1.0,-8.75,500,0,125,0,nan,0.383049,-0.887383,nan
25,1.0,-9.4,500,0,138,0,nan,0.40754,-1.093223,nan
26,1.0,-9.8,500,0,146,0,nan,0.493882,-1.266972,nan
27,1.0,-8.8,500,0,126,0,nan,0.315306,-0.5159,nan
