Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,66.715,5.377,5.377,0.183,0.0,0.0,-0.015,nose_poke
2,46.715,-20.0,-31.979,0.087,0.0,0.0,-0.015,nose_poke
3,26.715,-20.0,-28.572,-2.159,0.0,0.0,-0.005,move
4,7.103,-19.612,-19.612,-1.582,0.0,0.0,-0.005,move
5,0.0,-12.595,-12.595,-2.006,0.0,0.0,-0.005,move
6,0.0,-20.0,-30.077,-1.037,0.0,0.0,-0.005,move
7,19.286,19.286,19.286,-1.152,0.0,0.0,-0.005,move
8,0.0,-20.0,-33.929,0.052,0.0,0.0,-0.015,nose_poke
9,0.0,-20.0,-45.366,-0.883,0.0,0.0,-0.005,move
10,0.0,-20.0,-34.132,-0.861,0.0,0.0,-0.005,move
11,0.0,-20.0,-25.666,-0.844,0.0,0.0,-0.005,move
12,3.98,3.98,3.98,0.537,0.0,0.0,-0.055,lick
13,0.0,-20.0,-24.521,-1.12,0.0,0.0,-0.005,move
14,0.0,-20.0,-28.42,-1.742,0.0,0.0,-0.005,move
15,0.0,-20.0,-21.787,-1.671,0.0,0.0,-0.005,move
16,0.0,-14.696,-14.696,-0.588,0.0,0.0,-0.005,move
17,0.0,-17.629,-17.629,-0.989,0.0,0.0,-0.005,move
18,0.0,-20.0,-26.268,-1.256,0.0,0.0,-0.005,move
19,0.0,-20.0,-58.246,-0.353,0.0,0.0,-0.005,move
20,0.0,-20.0,-20.534,-0.928,0.0,0.0,-0.005,move
21,0.0,-20.0,-28.679,-1.079,0.0,0.0,-0.005,move
22,9.866,9.866,9.866,-0.86,0.0,0.0,-0.005,move
23,0.0,-17.837,-17.837,0.594,0.0,0.0,-0.055,lick
24,0.0,-15.3,-15.3,-1.735,0.0,0.0,-0.005,move
25,0.0,-20.0,-22.079,-1.09,0.0,0.0,-0.005,move
26,0.0,-7.138,-7.138,-1.99,0.0,0.0,-0.005,move
27,0.0,-9.018,-9.018,-0.089,0.0,0.0,-0.005,move
28,0.0,-20.0,-27.53,0.673,0.0,0.0,-0.055,lick
29,0.0,-16.287,-16.287,-1.82,0.0,0.0,-0.005,move
30,0.0,-20.0,-25.15,-1.178,0.0,0.0,-0.005,move
31,2.904,2.904,2.904,-1.568,0.0,0.0,-0.005,move
32,0.0,-20.0,-48.795,-0.73,0.0,0.0,-0.005,move
33,11.402,11.402,11.402,-1.91,0.0,0.0,-0.005,move
34,0.0,-20.0,-37.393,-1.633,0.0,0.0,-0.005,move
35,0.0,-15.648,-15.648,-0.374,0.0,0.0,-0.005,move
36,0.0,-6.324,-6.324,-0.416,0.0,0.0,-0.005,move
37,0.0,-20.0,-34.941,-3.041,0.0,0.0,-0.005,move
38,0.0,-18.15,-18.15,-0.757,0.0,0.0,-0.005,move
39,8.05,8.05,8.05,-1.841,0.0,0.0,-0.005,move
40,6.532,-1.518,-1.518,0.06,0.0,0.0,-0.015,nose_poke
41,0.0,-20.0,-23.002,-0.959,0.0,0.0,-0.005,move
42,0.0,-20.0,-34.476,-0.215,0.0,0.0,-0.005,move
43,3.293,3.293,3.293,-1.054,0.0,0.0,-0.005,move
44,0.0,-20.0,-23.223,-0.97,0.0,0.0,-0.005,move
45,0.0,-10.056,-10.056,-1.262,0.0,0.0,-0.005,move
46,0.0,-10.522,-10.522,-0.923,0.0,0.0,-0.005,move
47,0.0,-11.607,-11.607,0.88,0.0,0.0,-0.055,lick
48,0.0,-20.0,-48.135,-0.173,0.0,0.0,-0.005,move
49,0.0,-0.986,-0.986,-1.339,0.0,0.0,-0.005,move
50,0.0,-19.257,-19.257,-0.584,0.0,0.0,-0.005,move
51,20.0,20.0,23.118,-0.288,0.0,0.0,-0.005,move
52,0.0,-20.0,-21.496,-3.039,0.0,0.0,-0.005,move
53,0.0,-20.0,-35.131,-0.625,0.0,0.0,-0.005,move
54,0.0,-20.0,-20.057,-0.469,0.0,0.0,-0.005,move
55,0.0,-20.0,-21.955,-1.004,0.0,0.0,-0.005,move
56,1.297,1.297,1.297,-0.472,0.0,0.0,-0.005,move
57,0.0,-20.0,-42.959,0.01,0.0,0.0,-0.015,nose_poke
58,0.0,-13.302,-13.302,-1.173,0.0,0.0,-0.005,move
59,2.2,2.2,2.2,-1.111,0.0,0.0,-0.005,move
60,3.537,1.337,1.337,-1.453,0.0,0.0,-0.005,move
61,23.537,20.0,36.347,-0.686,0.0,0.0,-0.005,move
62,14.457,-9.08,-9.08,-1.877,0.0,0.0,-0.005,move
63,0.0,-20.0,-30.596,-1.047,0.0,0.0,-0.005,move
64,0.0,-20.0,-62.68,-2.833,0.0,0.0,-0.005,move
65,1.067,1.067,1.067,-0.572,0.0,0.0,-0.005,move
66,6.65,5.583,5.583,-0.064,0.0,0.0,-0.005,move
67,8.896,2.246,2.246,-1.752,0.0,0.0,-0.005,move
68,5.953,-2.943,-2.943,-1.233,0.0,0.0,-0.005,move
69,0.0,-20.0,-40.447,0.215,0.0,0.0,-0.015,nose_poke
70,11.948,11.948,11.948,-1.869,0.0,0.0,-0.005,move
71,0.0,-20.0,-23.189,-0.751,0.0,0.0,-0.005,move
72,0.0,-6.82,-6.82,-0.495,0.0,0.0,-0.005,move
73,0.0,-5.8,-5.8,-0.568,0.0,0.0,-0.005,move
74,0.0,-9.173,-9.173,-1.445,0.0,0.0,-0.005,move
75,0.0,-20.0,-50.97,-1.076,0.0,0.0,-0.005,move
76,0.0,-20.0,-25.381,-1.286,0.0,0.0,-0.005,move
77,0.0,-9.386,-9.386,-0.983,0.0,0.0,-0.005,move
78,0.0,-20.0,-23.627,-0.108,0.0,0.0,-0.005,move
79,0.0,-6.391,-6.391,-1.726,0.0,0.0,-0.005,move
80,0.0,-20.0,-24.649,-1.232,0.0,0.0,-0.005,move
81,20.0,20.0,24.483,-1.406,0.0,0.0,-0.005,move
82,1.496,-18.504,-18.504,-1.873,0.0,0.0,-0.005,move
83,0.0,-20.0,-32.436,-2.042,0.0,0.0,-0.005,move
84,0.0,-20.0,-23.867,-1.467,0.0,0.0,-0.005,move
85,0.0,-20.0,-26.472,-1.14,0.0,0.0,-0.005,move
86,0.0,-20.0,-46.539,-0.894,0.0,0.0,-0.005,move
87,0.0,-20.0,-27.179,-1.627,0.0,0.0,-0.005,move
88,0.0,-20.0,-29.169,-0.417,0.0,0.0,-0.005,move
89,12.741,12.741,12.741,-1.253,0.0,0.0,-0.005,move
90,0.0,-20.0,-28.413,-1.346,0.0,0.0,-0.005,move
91,7.951,7.951,7.951,-0.848,0.0,0.0,-0.005,move
92,20.369,12.418,12.418,-1.01,0.0,0.0,-0.005,move
93,0.369,-20.0,-30.011,-0.286,0.0,0.0,-0.005,move
