episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,8.38,500,1,163,500,2,179.0,1.966678,0.679363,nan
2,1.0,19.16,500,1,142,500,3,60.0,2.917785,1.046449,nan
3,1.0,18.06,500,1,171,500,3,66.66666666666667,2.838186,0.904752,nan
4,1.0,8.64,500,1,158,500,2,87.0,1.874468,0.160849,nan
5,1.0,-1.21,500,1,153,500,1,73.0,0.974023,-0.341825,nan
6,1.0,-1.2,500,1,155,500,1,68.0,0.990854,-0.455069,nan
7,1.0,-0.98,500,1,145,500,1,26.0,0.958699,-0.350155,nan
8,1.0,-0.21,500,1,133,500,1,44.0,0.959764,-0.368519,nan
9,1.0,-10.83,500,0,146,500,0,nan,0.097854,-0.860234,nan
10,1.0,-1.97,500,1,170,500,1,55.0,0.94392,-0.234335,nan
11,1.0,-10.87,500,0,147,500,0,nan,0.074503,-0.752652,nan
12,1.0,-10.7,500,0,144,500,0,nan,0.0595,-0.675736,nan
13,1.0,-10.81,500,0,147,500,0,nan,0.049057,-0.617015,nan
14,1.0,-9.4,500,0,118,500,0,nan,0.023388,-0.404505,nan
15,1.0,-10.03,500,0,134,500,0,nan,0.020893,-0.383821,nan
16,1.0,0.0,500,1,128,500,1,15.0,0.885289,0.289923,nan
17,1.0,-10.84,500,0,147,500,0,nan,0.011343,-0.250151,nan
18,1.0,-10.39,500,0,139,500,0,nan,0.0077,-0.148483,nan
19,1.0,-10.45,500,0,141,500,0,nan,0.006816,-0.098647,nan
20,1.0,-11.08,500,0,151,500,0,nan,0.004745,-0.073723,nan
21,1.0,-10.68,500,0,144,500,0,nan,0.006861,0.051958,nan
22,1.0,-10.34,500,0,140,500,0,nan,0.007238,0.116574,nan
23,1.0,-10.11,500,0,136,500,0,nan,0.0114,0.171474,nan
24,1.0,-9.75,500,0,125,500,0,nan,0.012404,0.206881,nan
25,1.0,-0.06,500,1,134,500,1,33.0,0.913903,0.73261,nan
