episode,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
1,-17.55,500,0,0,1,301,nan,nan,nan
2,-19.15,500,0,0,1,333,0.049106,-0.011758,nan
3,-3.35,500,0,0,1,17,0.0008,-0.057803,nan
4,-2.5,500,0,0,0,0,0.00024,-0.059126,nan
5,-1.83,426,0,0,1,14,0.000141,-0.050229,nan
6,-3.5,500,0,0,1,20,0.000148,-0.045424,nan
7,-0.935,317,0,0,1,7,0.00043,nan,nan
8,-4.0,500,0,0,1,30,0.001515,nan,nan
9,-1.8,340,0,0,1,22,0.000349,nan,nan
10,-2.55,500,0,0,0,1,0.000788,nan,nan
11,-2.5,500,0,0,0,0,0.000185,nan,nan
12,-2.55,500,0,0,0,1,0.000168,nan,nan
13,-2.5,500,0,0,0,0,0.000135,nan,nan
14,-2.75,500,0,0,1,5,0.000138,nan,nan
15,0.48,74,0,0,1,3,0.000205,nan,nan
16,-2.5,500,0,0,0,0,0.00017,nan,nan
17,-2.5,500,0,0,0,0,0.000192,nan,nan
18,-0.505,281,0,0,1,2,0.000249,-0.081914,nan
19,-2.5,500,0,0,0,0,0.000347,-0.137234,nan
20,-2.5,500,0,0,0,0,0.000389,-0.169104,nan
21,-2.55,500,0,0,1,1,0.000433,-0.169005,nan
22,-2.5,500,0,0,0,0,0.000348,-0.160107,nan
23,-0.36,252,0,0,1,2,0.000205,-0.508482,nan
24,0.54,22,0,0,1,7,0.000224,-0.476783,nan
25,0.495,21,0,0,1,8,0.000435,nan,nan
26,0.49,22,0,0,1,8,0.000576,nan,nan
27,0.485,23,0,0,1,8,0.00037,-0.513148,nan
28,0.49,22,0,0,1,8,0.000757,-0.345665,nan
29,0.435,23,0,0,1,9,0.003171,nan,nan
30,0.6,20,0,0,1,6,0.005709,nan,nan
31,0.495,21,0,0,1,8,0.016869,-0.459294,nan
32,0.6,20,0,0,1,6,0.012099,-0.519735,nan
33,0.435,23,0,0,1,9,0.002953,nan,nan
34,0.6,20,0,0,1,6,0.002123,nan,nan
35,0.6,20,0,0,1,6,0.00061,nan,nan
36,0.495,21,0,0,1,8,0.001172,-0.530524,nan
37,0.6,20,0,0,1,6,0.00228,-0.536575,nan
38,0.545,21,0,0,1,7,0.002778,nan,nan
39,0.49,22,0,0,1,8,0.00221,nan,nan
40,0.65,20,0,0,1,5,0.002292,nan,nan
41,0.495,21,0,0,1,8,0.003253,-0.565253,nan
42,0.6,20,0,0,1,6,0.003203,-0.552772,nan
43,0.38,24,0,0,1,10,0.001057,-0.574675,nan
44,0.545,21,0,0,1,7,0.001459,nan,nan
45,0.545,21,0,0,1,7,0.001315,-0.626361,nan
46,0.38,24,0,0,1,10,0.002151,-0.577103,nan
47,0.545,21,0,0,1,7,0.000974,nan,nan
48,0.49,22,0,0,1,8,0.001787,nan,nan
49,0.44,22,0,0,1,9,0.001447,nan,nan
50,0.54,22,0,0,1,7,0.000848,nan,nan
51,0.605,19,0,0,1,6,0.001882,-0.612966,nan
52,0.435,23,0,0,1,9,0.001734,nan,nan
53,0.485,23,0,0,1,8,0.003667,-0.629571,nan
54,0.595,21,0,0,1,6,0.003781,nan,nan
55,0.54,22,0,0,1,7,0.003989,nan,nan
56,0.655,19,0,0,1,5,0.000979,-0.562386,nan
57,0.49,22,0,0,1,8,0.003048,-0.56204,nan
58,0.605,19,0,0,1,6,0.00209,nan,nan
59,0.6,20,0,0,1,6,0.001115,nan,nan
60,0.44,22,0,0,1,9,0.001449,nan,nan
61,0.435,23,0,0,1,9,0.001405,-0.598382,nan
62,0.55,20,0,0,1,7,0.003481,-0.621026,nan
63,0.54,22,0,0,1,7,0.003575,-0.627794,nan
64,0.6,20,0,0,1,6,0.00124,-0.604189,nan
65,0.545,21,0,0,1,7,0.001507,nan,nan
66,0.55,20,0,0,1,7,0.000581,nan,nan
67,0.49,22,0,0,1,8,0.000907,nan,nan
68,0.55,20,0,0,1,7,0.001391,nan,nan
69,0.385,23,0,0,1,10,0.001488,-0.637764,nan
70,0.385,23,0,0,1,10,0.000934,nan,nan
71,0.375,25,0,0,1,10,0.001407,-0.659588,nan
72,0.55,20,0,0,1,7,0.004058,-0.637921,nan
73,0.55,20,0,0,1,7,0.002095,-0.643791,nan
74,0.44,22,0,0,1,9,0.003078,-0.633267,nan
75,0.6,20,0,0,1,6,0.001407,-0.638552,nan
76,0.605,19,0,0,1,6,0.001881,nan,nan
77,0.605,19,0,0,1,6,0.001485,-0.69206,nan
78,0.545,21,0,0,1,7,0.003514,nan,nan
79,0.535,23,0,0,1,7,0.003245,-0.657262,nan
